Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,224,0.49777777777777776,0.27871081765673916,0.6199167467178994,0.2699986104818772,0.03127076785170617,9.509024541611085,16.71094716996281,6.760627085751197,10.764620035684464,11.010944806341714
EGFR,150,0.3333333333333333,0.12999841884588278,0.5522749964341748,0.17999061040412007,0.020796888449666324,6.134352220771779,7.683425697257728,4.213189299456955,6.883936571411038,6.287304875758153
CTNNB1,127,0.2822222222222222,0.08113544525233957,0.5377777777777778,0.17472380010688224,0.01758371045273637,5.085467580510914,4.717220143025685,4.064126198923263,5.693420026221029,4.9107279339640995
AKT1,126,0.28,0.05760284694944432,0.5324532453245324,0.18427287048410324,0.016266163000388204,5.039863900499572,3.2886840008703255,4.334387316622813,5.20525471368866,4.494051771454727
STAT3,129,0.2866666666666667,0.052276752515284554,0.5371063947842974,0.1799932089951268,0.016796849002909106,5.176674940533598,2.96536575535412,4.213262845685245,5.401879509110989,4.476206138984535
BRCA1,106,0.23555555555555555,0.07413971853195042,0.5121693121693122,0.1853247017055254,0.011528306150540076,4.127790300272733,4.292547595944968,4.364156610418254,3.449828474035813,4.080660520972512
MYC,98,0.21777777777777776,0.041344013607796104,0.5127797642696332,0.1627021572817705,0.012518496071773626,3.762960860181997,2.3016985962468373,3.723885474103619,3.816704347465564,3.4005789144392446
CCND1,92,0.20444444444444446,0.03268480429628778,0.5127797642696332,0.14813660167976658,0.011890695114875066,3.4893387801139446,1.7760450621678578,3.3116460433101333,3.5840974308901448,3.044428533421901
EP300,88,0.19555555555555557,0.03723733304742585,0.49909770559422534,0.12012730791771066,0.012478013720431579,3.3069240600685768,2.052404339434832,2.5189172499224726,3.8017052067061816,2.9346489972084404
JUN,83,0.18444444444444444,0.03175284413600118,0.5031838856400259,0.13200524785176648,0.01095057236782362,3.078905660011867,1.7194708260855418,2.8550908454385073,3.23577197679342,2.725657251971924
ATM,83,0.18444444444444444,0.03155513629547704,0.4707026501337223,0.14736774369955857,0.008345321003781185,3.078905660011867,1.7074690576390261,3.2898855568046703,2.270498700232087,2.616561096821261
PTEN,78,0.17333333333333334,0.023143239023273195,0.4916825396825397,0.15023110734018447,0.00893603208336937,2.850887259955157,1.1968284933132904,3.370925472453613,2.4893634236768234,2.4690754435387148
ERBB2,77,0.1711111111111111,0.02742408698120042,0.49909770559422534,0.11337599613748937,0.010116637069391296,2.805283579943815,1.4566955062227247,2.327839271063577,2.9267900992409674,2.396949003596925
SRC,69,0.15333333333333332,0.029345213980757286,0.4774941423110124,0.1091236453231619,0.009565674509657243,2.4404541398530792,1.5733166849473799,2.2074877563577875,2.7226526242021296,2.233516196297406
ESR1,61,0.13555555555555557,0.015696058619860297,0.4888888888888889,0.1288658546541355,0.007298116011740564,2.0756246997623435,0.7447506468088704,2.766238645069969,1.882498138040664,1.8424036632411642
SMAD3,52,0.11555555555555555,0.031071810224870194,0.47277167277167276,0.08573375789150271,0.0075111417371287745,1.6651915796602657,1.6781289587931256,1.5454990108118019,1.9614264298651698,1.7037343807147687
FN1,55,0.12222222222222222,0.027952119086148246,0.43945068664169784,0.06500079664862887,0.008362208805321864,1.8020026196942915,1.4887494654340003,0.9587075162086149,2.2767558099114367,1.6499809484755126
CD44,55,0.12222222222222222,0.016159313328351754,0.4666184622800675,0.08304812942221243,0.007973322798662053,1.8020026196942915,0.7728723223495723,1.4694894179233102,2.1326694176967105,1.5443507646043995
BRCA2,56,0.12444444444444444,0.008731574839985696,0.44582613701784685,0.11924298621344295,0.005216793661189314,1.8476062997056335,0.32197468883989433,2.4938888688591723,1.1113461207629107,1.4482028750313618
HIF1A,48,0.10666666666666666,0.006887878968693657,0.4656084656084656,0.10634602143230402,0.005883884575823126,1.4827768596148976,0.21005393307025816,2.128874476987373,1.3585103836130532,1.268962356252864
NFKB1,49,0.10888888888888888,0.004618758169913021,0.478556420714374,0.10327007259293228,0.005945841292992924,1.5283805396262395,0.07230794215790877,2.041817900956862,1.3814660047914558,1.2376669555583246
MDM2,47,0.10444444444444445,0.008527462756150203,0.4701882210078931,0.09884045187092969,0.005908198065978248,1.4371731796035556,0.30958415358931923,1.9164492315448867,1.3675187897233414,1.23720025551222
PIK3R1,49,0.10888888888888888,0.004222032255929755,0.4651051051051051,0.08146079675796959,0.006083060991693851,1.5283805396262395,0.048224868144573545,1.4245641756690877,1.4323073592964122,1.1183637128984272
MSH2,47,0.10444444444444445,0.005812428615236942,0.43544759334233013,0.09721846542116225,0.004415564096815249,1.4371731796035556,0.14476918723674526,1.870543205775785,0.8144820647429531,1.0762079637741784
FANCI,46,0.10222222222222223,0.013573770772922341,0.36336336336336333,0.06780856231433607,0.00517401109705377,1.3915694995922137,0.6159180863586735,1.0381738785953256,1.0954947267543365,1.0677625675168756
KRAS,44,0.09777777777777778,0.004296411400880385,0.4636015325670498,0.09912595012942846,0.0049454313341778175,1.3003621395695297,0.05274002178026513,1.924529502754031,1.0108034989856176,1.0553783546423314
WRN,48,0.10666666666666666,0.002346795123314724,0.4132778311452663,0.08992107729260176,0.0045394715923628955,1.4827768596148976,-0.06561058617169604,1.6640099837967324,0.8603911067143204,1.0074494724245007
EGF,43,0.09555555555555556,0.009475925401054373,0.4523892978151653,0.06435230488383174,0.005992805851047105,1.2547584595581878,0.3671601658209637,0.9403536762797452,1.3988668719250104,0.9987996119415579
RAD51,46,0.10222222222222223,0.0030608902902370546,0.41972899728997287,0.09553227457139714,0.00419626815172188,1.3915694995922137,-0.02226174972971641,1.822820044702498,0.7332305899799052,0.9926940143613263
MLH1,45,0.1,0.003588495228619646,0.4148719597128469,0.09124290973958338,0.004277814614303444,1.3459658195808717,0.009766278521054952,1.7014209463743006,0.7634444197141518,0.9665026797012595
CREBBP,41,0.09111111111111111,0.005266602080827395,0.4661129168171422,0.08171719463499677,0.005412466872920711,1.1635510995355038,0.11163502492643579,1.4318208377402415,1.1838451221376467,0.958284833044613
ERCC4,49,0.10888888888888888,0.001123088906627452,0.361531279178338,0.07751090069481692,0.004792785062234009,1.5283805396262395,-0.1398951396841271,1.312772840737555,0.9542464353917829,0.9533632591740197
MSH6,44,0.09777777777777778,0.0025789597403121523,0.414472275743952,0.08842797219396654,0.0041388790870623806,1.3003621395695297,-0.051517134099738536,1.621751602942963,0.7119673325271924,0.9089912524184318
ERCC1,47,0.10444444444444445,0.0014906892883634253,0.36122772646702117,0.0742508223792748,0.004722692690600328,1.4371731796035556,-0.11758011843484426,1.2205049681027225,0.9282764679012696,0.9033718704533319
FANCD2,45,0.1,0.001291719450265133,0.3609246830723341,0.07780091343507249,0.004295672080381711,1.3459658195808717,-0.1296584958950689,1.3209808823826925,0.7700608003944812,0.8568817494349726
