Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,308,0.45161290322580644,0.32913593094217813,0.6151506015841258,0.2769975007987059,0.0338326943108646,12.593666188136428,21.333114719749286,8.475308628710163,14.453318226161866,14.326787216759477
EGFR,201,0.29472140762463345,0.1252525639212368,0.554516549026971,0.18427254759355596,0.021349295165651018,8.011215536410718,8.019492734703427,5.369951096445615,8.87918981534363,7.658626803777458
AKT1,183,0.26832844574780057,0.09989586377549742,0.5466869964244309,0.19326937420337986,0.018830789926223165,7.240335987522282,6.363695474430318,5.671254707971656,7.754618579209434,6.810216121676596
STAT3,165,0.24193548387096775,0.06638737401406489,0.5342622919602391,0.18643628885928468,0.015468865941703188,6.469456438633845,4.175584828172106,5.442414764586125,6.253441233269221,5.6473771601359415
CTNNB1,140,0.20527859237536658,0.07234711516610641,0.52488926929427,0.16146634740307456,0.014570339255796776,5.398790398511015,4.564757039649527,4.606171735056721,5.852228144628243,5.122445875328229
ESR1,101,0.14809384164222875,0.058930008511696004,0.5028350983155192,0.14217159557830283,0.009896960875469499,3.7285513759194022,3.6886174666184623,3.959990735863699,3.765455872007756,3.7722366698006975
EP300,118,0.17302052785923755,0.03387342647440906,0.4971383260536364,0.11842049481108693,0.012987867996872056,4.456604283202926,2.05241797493818,3.1645666658847484,5.145617877579487,3.734952901548416
MYC,113,0.1656891495601173,0.032085715329025204,0.5094513496091445,0.15632372928985216,0.010788290313727317,4.24247107517836,1.9356801029093678,4.433945518256988,4.163455221976195,3.6882650500864043
SRC,114,0.16715542521994134,0.03797869374023397,0.4956409214570893,0.12565601227036263,0.011726530243862514,4.2852977167832735,2.3204926949282703,3.4068840558141025,4.582401198940808,3.6778344255571955
BRCA1,100,0.1466275659824047,0.04677333148530548,0.4850487425902835,0.16428742912041006,0.007011283417072532,3.6857247343144888,2.894784183950382,4.7006497267649445,2.476933690012502,3.449216386353156
FN1,76,0.11143695014662756,0.0631208366658039,0.44837271368870213,0.07785249118668913,0.008727119394367667,2.657885335796573,3.962279328610123,1.8059447278910141,3.2430944093877256,2.9306375271370793
