Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,224,0.3916083916083916,0.27373161693449793,0.5317517128540751,0.2711673871176386,0.027576747843225145,10.873017642700859,18.793942068508198,7.334095163219855,12.441937235693219,12.459248171854965
EGFR,154,0.2692307692307692,0.13516007957933374,0.4914004914004914,0.1899696825718216,0.01900362911339912,7.271128497931025,9.181819127093796,4.916505518412709,8.312637331537472,7.486178326039345
AKT1,117,0.20454545454545456,0.06512339120040368,0.4652827487473156,0.1821671986559028,0.012900474016323346,5.367272807124113,4.323669524680397,4.6841934792434765,5.373011910309451,4.970903941574124
STAT3,122,0.21328671328671328,0.05021851772384906,0.46391292711214205,0.18093213034549913,0.013680354940867237,5.6245506031791015,3.289781332217975,4.647420415588992,5.748646767175283,4.870251480720034
CTNNB1,102,0.17832167832167833,0.05601626677859487,0.45454545454545453,0.15197756050503253,0.012604971844661856,4.595439418959149,3.691946724630784,3.785323776186351,5.230681315391355,4.334591496108939
BRCA1,99,0.17307692307692307,0.06614678042740121,0.42664916311125695,0.18052882632751657,0.009270065872018098,4.441072741326156,4.394657717887829,4.635412396113102,3.6244015766893405,4.305002683496601
IL6,87,0.1520979020979021,0.05110469092847391,0.4340929960764671,0.11010020050503472,0.0110398685780331,3.823606030794185,3.3512514288396877,2.538462520019581,4.476838872220722,3.5791352464359476
SRC,85,0.1486013986013986,0.04066634794785924,0.43369474562135113,0.1244541238812765,0.010466290035331192,3.7206949123721897,2.627187613503955,2.9658378591484884,4.200570935657006,3.392321881667354
MYC,88,0.15384615384615385,0.03168643182900823,0.44345898004434586,0.1500456061238315,0.009753975305719177,3.8750615900051826,2.0042887167647687,3.7278015477889226,3.8574797879183684,3.374400002834464
FN1,71,0.12412587412587413,0.038583589887140064,0.40507906831814283,0.08302493617257564,0.009601782705738467,3.000317083418223,2.4827154735612247,1.7323205355052982,3.7841752054999334,2.7740889957877304
CCND1,72,0.1258741258741259,0.014804569263204413,0.431320504313205,0.12543558708535596,0.00798533257756892,3.0517726426292207,0.833265131692878,2.995060055665175,3.005601203474126,2.476568959671307
PTEN,73,0.12762237762237763,0.005923469256476485,0.42435123225069366,0.14800573494075087,0.007148379652304866,3.103228201840218,0.21722069176674685,3.667066192318701,2.6024772362237782,2.3943437292942593
BRCA2,67,0.11713286713286714,0.0068526424237683545,0.37637521713954836,0.1384669021697895,0.00540181199101137,2.7944948465742323,0.28167351439064203,3.383055905825802,1.7612312551912586,2.077349007102054
CD44,54,0.0944055944055944,0.028097119739237862,0.4135846655531695,0.08648476091214177,0.006878945775278496,2.125572576831263,1.75531327966941,1.8353337488714827,2.4727026095513818,2.0443859934928676
EP300,54,0.0944055944055944,0.02693564007921735,0.4057744830277019,0.08124769391256519,0.006894632289500567,2.125572576831263,1.6747463356984065,1.6794047233139513,2.480258123911446,1.9945695552606233
