Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,168,0.5637583892617449,0.2710651841877594,0.6824792735886301,0.25315008531688127,0.028739472198053097,7.191997233588745,13.525234193350334,5.3301526123817915,7.914657556826858,8.547469613935375
BRCA1,109,0.3657718120805369,0.1332420293942214,0.5883442013695087,0.21118463510497298,0.016562663798333713,4.348053379967768,6.531567895302781,4.269989856896893,4.119607179979373,4.832630064189667
CTNNB1,105,0.3523489932885906,0.09381357542050242,0.5895400229170077,0.16015643033461643,0.018829151032009987,4.155243627179905,4.530819543886824,2.9808769818147685,4.825985481085053,4.148412648064637
EGFR,108,0.3624161073825503,0.0755153068464362,0.5931568328735537,0.1587182207462762,0.018695423155509767,4.299850941770802,3.6022964344661004,2.9445438498588308,4.784307562582297,3.9512922207245316
AKT1,108,0.3624161073825503,0.06221086494130656,0.5871532212047931,0.16991983746335687,0.01828813506138098,4.299850941770802,2.9271789108132507,3.2275275134368306,4.657371276457884,3.8137223153020363
MYC,106,0.35570469798657717,0.0610523616036945,0.5871532212047931,0.17723606750467039,0.01772743850033349,4.203446065376871,2.868392085329751,3.4123556175366008,4.482623376560781,3.767299943033819
STAT3,99,0.33221476510067116,0.05177341982656109,0.5789494835831692,0.15546773525683652,0.016850322837914863,3.8660289979981104,2.3975436093570766,2.862427641507748,4.209259616868434,3.366833503313844
BRCA2,68,0.22818791946308725,0.019692755189234364,0.5106579071745911,0.15458138316700906,0.009370364539489504,2.371753413892173,0.7696497810004692,2.84003594859998,1.8780396758618225,1.9661412650047383
JUN,65,0.2181208053691275,0.02414810863804834,0.5361436067932861,0.10925940303188823,0.011419708018991072,2.2271460993012755,0.9957312061973999,1.695078010547238,2.5167424860622023,1.8707980356266845
ATM,61,0.2046979865771812,0.01656527461743179,0.5009562889035714,0.14672091256600786,0.008142484262270544,2.0343363465134128,0.6109496300310643,2.6414588302875273,1.4953558595597778,1.6921180667569218
CCND1,60,0.20134228187919462,0.01921800146952298,0.530262689716943,0.11879509667159556,0.010021816920897939,1.986133908316447,0.7455589880245571,1.935975872800203,2.0810727305347734,1.684946335583891
ESR1,59,0.19798657718120805,0.01793178869341526,0.528330949499395,0.12348400799629923,0.009495335567749504,1.9379314701194814,0.6802917043242387,2.054430676099599,1.9169884161494715,1.6426327590726921
PIK3CA,58,0.19463087248322147,0.014911213792187267,0.52545958564342,0.11488601254390057,0.00929017112564434,1.8897290319225157,0.5270163499827126,1.8372216504741572,1.8530464234886648,1.531212863461123
EP300,54,0.18120805369127516,0.01692753148158595,0.5170297527186591,0.09306382175447182,0.009837539855649417,1.6969192791346528,0.6293319085811858,1.2859330594733378,2.0236405428088116,1.413169445298855
PTEN,53,0.17785234899328858,0.014100623356544925,0.5198094825719852,0.1231788807242322,0.008239507075718262,1.6487168409376871,0.4858839363489962,2.046722321539009,1.5255941989218433,1.41298518250761
HIF1A,50,0.16778523489932887,0.013159148145521356,0.49751919601229466,0.10053852312487094,0.008180207035600108,1.5041095263467898,0.43810993593777176,1.4747645854370557,1.5071126204810874,1.232341259389448
MDM2,48,0.1610738255033557,0.007282127678059311,0.5151930573271186,0.10853638081747928,0.007644713172326882,1.4077046499528585,0.13988776827808838,1.6768124797538362,1.3402194477461529,1.1310749550530204
KRAS,45,0.15100671140939598,0.01058876367023112,0.5106579071745911,0.10830826136581251,0.0068674350273954235,1.2630973353619612,0.30767894047266997,1.6710495546514592,1.097971264149421,1.0728079662550298
MSH2,47,0.15771812080536912,0.005614548122823091,0.47240014865662505,0.11791525484273775,0.006244585304243472,1.3595022117558928,0.055268496920968836,1.9137486469998688,0.9038525756578096,1.0531631428763404
WRN,48,0.1610738255033557,0.004222644740152683,0.4611346443166419,0.11160516722531426,0.006462219947791921,1.4077046499528585,-0.015361926479967772,1.754338469292767,0.9716810582044056,1.034060051362943
SMAD3,38,0.12751677852348994,0.026592596756578327,0.5009562889035714,0.07399399624316497,0.007130678189048011,0.9256802679832012,1.1197737460460262,0.8041767895275814,1.1800141958469583,1.000769727380535
RAD51,46,0.15436241610738255,0.004240025310671346,0.4633445547526642,0.11663079229180304,0.005970127828719481,1.311299773558927,-0.014479970828471472,1.8812995882994406,0.8183145667046642,0.9952577590393274
MLH1,45,0.15100671140939598,0.005059664534304263,0.47163201833360613,0.11178703098883025,0.006061501293801579,1.2630973353619612,0.027111612410690895,1.7589328484231799,0.8467922179668512,0.9700069837573654
ERCC4,47,0.15771812080536912,0.0029336056693965904,0.4096803549084291,0.09754008680257999,0.006578154800989749,1.3595022117558928,-0.08077262702240018,1.3990158326527011,1.0078135646769812,0.936998496824899
SRC,45,0.15100671140939598,0.0074206565055601505,0.4834228187919463,0.08078897739910547,0.007420928912672928,1.2630973353619612,0.14691724306882278,0.9758367123777757,1.2704743625765573,0.9280755931347587
ERCC1,45,0.15100671140939598,0.006100057781266434,0.40910252648119577,0.09331795305831365,0.0064510039297930605,1.2630973353619612,0.07990508676480393,1.2923531155426868,0.9681854498367577,0.9141680521437762
MSH6,44,0.1476510067114094,0.0036386441336441005,0.4633445547526642,0.10809041648410382,0.005882285156863679,1.2148948971649955,-0.04499631821840085,1.6655461934604234,0.7909373300769341,0.9052608391606197
FANCD2,44,0.1476510067114094,0.002530741114891962,0.40737877988085364,0.0954286039453999,0.006181906463170093,1.2148948971649955,-0.10121549282196513,1.3456739651706753,0.8843179528217162,0.8459077244007354
PIK3R1,42,0.14093959731543623,0.004692648577886998,0.5070868728586849,0.08032237709207969,0.006681170429265569,1.1184900207710642,0.008487839583213376,0.9640491046026022,1.039919637637638,0.7943872156137238
PALB2,40,0.1342281879194631,0.0027744892414120984,0.4574979357652489,0.10428203994238773,0.00521624227480756,1.0220851443771326,-0.08884679425161403,1.569336121889594,0.5833569684936878,0.7660567200457493
BARD1,38,0.12751677852348994,0.004381603161511792,0.4567774665750674,0.10000435649385218,0.005088940159975879,0.9256802679832012,-0.00729577710241655,1.4612700663846132,0.5436817167358803,0.723154506142615
EXO1,39,0.13087248322147652,0.0017901659949473197,0.45250185846360025,0.1029011154755345,0.005037925424635334,0.9738827061801669,-0.13879506546553233,1.5344501697431732,0.527782354257337,0.7186066855967774
BLM,38,0.12751677852348994,0.0031860326772396195,0.4604026845637584,0.10218648362271515,0.0050227192575501385,0.9256802679832012,-0.06796352930501466,1.5163966025726427,0.5230431674168503,0.7148851654657653
ERBB2,38,0.12751677852348994,0.0029629275060703243,0.502692705849511,0.0907731018984976,0.005904033988366615,0.9256802679832012,-0.0792847265223054,1.2280631721662676,0.7977156178253978,0.7093226701618772
FANCM,40,0.1342281879194631,0.0019802718411290427,0.4028523489932886,0.08948845291067568,0.005647406342515702,1.0220851443771326,-0.12914837836498957,1.19560940355702,0.7177344920553288,0.7081114850632186
CHEK2,38,0.12751677852348994,0.0023267652560322255,0.4553433144037171,0.10201816318704546,0.004986746721827602,0.9256802679832012,-0.1115659966386832,1.512144365172998,0.5118318893242166,0.7008918455338926
PMS2,38,0.12751677852348994,0.003871180579514758,0.4670751872385955,0.09575467105878689,0.005152548329459039,0.9256802679832012,-0.03319654257845427,1.3539113177465634,0.5635059760691558,0.6991724169126506
XRCC3,40,0.1342281879194631,0.0009951049147963735,0.403974500383242,0.0892220701186718,0.00546840818951389,1.0220851443771326,-0.17913946107504033,1.1888798411822914,0.6619475415092246,0.6831104118015395
