Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,90,0.3879310344827586,0.15196174969406362,0.5500966330993795,0.17756619021560047,0.0223916866189603,4.681145190255584,9.005895644251133,2.7020319753707605,5.489097416640039,5.528100606054398
RUNX1,66,0.28448275862068967,0.15322151114941301,0.499953776462975,0.08997644581695494,0.019476989947502427,3.1739501243925465,9.083284075702991,0.9533328169758507,4.60516402414531,4.493402930687371
STAT3,71,0.30603448275862066,0.06211821475012946,0.5123152709359605,0.18462837652184738,0.016557143476541282,3.4879490964473456,3.4867156313392123,2.8430260989973273,3.7196688637348414,3.4050000841378076
JAK2,63,0.27155172413793105,0.04905979225757538,0.46273637374860954,0.18580159465839033,0.01330673428369433,2.985550741159667,2.684523414992878,2.866448996073598,2.733924702785095,2.8361483529258416
EP300,55,0.23706896551724138,0.06898832943247188,0.4818675933351154,0.0818461268370527,0.016546277184565576,2.483152385871988,3.9087537853906857,0.7910137914409724,3.716373468222855,2.747769233335633
PIK3CA,66,0.28448275862068967,0.025455105848188858,0.47572132301196346,0.19950029196486804,0.01341116116519237,3.1739501243925465,1.2344634465929414,3.139938782068619,2.7655940042716325,2.600604962453677
PTPN11,61,0.2629310344827586,0.026672415265252554,0.4709160571229537,0.19127136918059554,0.012264832354081894,2.859951152337747,1.3092440060219537,2.975651165451524,2.417949487831261,2.407014035480257
PIK3R1,59,0.2543103448275862,0.017874949889592623,0.4673753348889465,0.18711772350865313,0.011889545331710287,2.7343515635158275,0.7688067325339168,2.892725056457094,2.3041370509857297,2.188597151852584
GRB2,58,0.25,0.01410666786483693,0.4615909866848754,0.1818626031100036,0.011627260021724834,2.671551769104868,0.5373173232288897,2.7878083829187195,2.2245943849761614,2.0718530035729024
ERBB2,56,0.24137931034482757,0.01694714667836744,0.4570655848546315,0.17565731814599872,0.011324786381658727,2.545952180282948,0.7118108346932425,2.663922000230249,2.13286389602956,2.028393151024304
STAT5A,49,0.21120689655172414,0.02950150018394516,0.4843708016121809,0.13558392114293405,0.010833926222568988,2.106353619406229,1.483037578901991,1.863870394937884,1.9840018583727652,1.8775576121798077
