Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,274,0.44264943457189015,0.3181367513783028,0.5808244981784647,0.28809291516125873,0.032025622122055876,12.330066817236219,20.168315653010254,8.213247350097873,13.967880819699367,13.793827933244687
EGFR,173,0.27948303715670436,0.13453102824929697,0.516986129910201,0.20972113831632214,0.019484531218154758,7.555947406278734,8.429525880666546,5.77521156856854,8.20803857434493,7.548613090946888
STAT3,159,0.2568659127625202,0.0846922614612037,0.5024996534153442,0.21055950647057253,0.01697189627510567,6.894188280007399,5.243095763631335,5.801292023043897,7.054041605259409,6.2948065645710845
AKT1,143,0.23101777059773831,0.06858345222912536,0.4968438131604529,0.19983367803070323,0.015401707493720197,6.137892135697303,4.213182742209381,5.467626581533165,6.332889055971025,5.561661060547239
CTNNB1,121,0.19547657512116318,0.07648969498719374,0.4867299441902655,0.17180037963446107,0.013600823567839348,5.097984937270921,4.718666558532847,4.5955500851746045,5.505783392296933,4.984228063172342
BRCA1,101,0.1631663974151858,0.07572829634294746,0.4620407441226434,0.15163155246587232,0.008765066765990296,4.1526147568833,4.669986710947298,3.9681262307200753,3.2848285703455153,4.071502802859097
EP300,106,0.17124394184168015,0.0456953318335103,0.4730870603465153,0.11129298988379491,0.012783837558871164,4.388957301980205,2.749836017339388,2.713250267589236,5.130560011462121,3.7923561158381895
IL6,89,0.14378029079159937,0.04249994916598082,0.45185401905537254,0.11579248812533197,0.010424167126992389,3.5853926486507275,2.5455399598032944,2.853223331278992,4.046816217338016,3.2712803267019797
SRC,96,0.15508885298869146,0.016015493937823436,0.45725466470145265,0.1613660171041031,0.009435517705264126,3.9162722117863944,0.8522623927421297,4.270951738287625,3.5927516747275847,3.1565015549138127
TNF,87,0.14054927302100162,0.029771957499738624,0.45008204251005735,0.10794017048216653,0.009955363502316834,3.490855630611965,1.731778733584981,2.6089487702996044,3.831505209478118,2.9428349500659774
PTEN,82,0.1324717285945073,0.01406505601350637,0.4514985084188223,0.16121886468480467,0.007210486380286573,3.25451308551506,0.7275615916593806,4.266374033429688,2.5708446077071168,2.688413706072477
ESR1,77,0.12439418416801293,0.016383042050924054,0.46166902992785447,0.14739892773257102,0.007784515184078739,3.018170540418155,0.875761497004137,3.836455226628998,2.8344831842446574,2.60948774557212
JUN,60,0.09693053311793215,0.024763416710616784,0.4561642322737067,0.10874403917610746,0.006214878512057295,2.214605887088678,1.4115588276488273,2.633955995073351,2.113584206424925,2.0775098076928993
ERBB2,68,0.10985460420032311,0.006878202557763109,0.44867443643496724,0.13597185662680694,0.00602297890639892,2.592753959243726,0.2680717652865111,3.4809751117777714,2.0254490143584887,2.0757666522841838
CCND1,59,0.09531502423263329,0.01775888540000779,0.44762449625610223,0.10826233658816291,0.006298157853026682,2.1673373780692966,0.9637257257837779,2.6189709048694154,2.1518325430294816,1.9536602033499777
BCL2,55,0.0888529886914378,0.022848725221619112,0.44972931363661683,0.10304250523761377,0.0060592950629600375,1.9782633419917726,1.289143466704729,2.4565892909962628,2.042128211914146,1.9144215369553843
BRCA2,67,0.10823909531502424,0.009646989625389114,0.4032709797612952,0.10185697571554102,0.005289322118446193,2.545485450224345,0.4450935310427388,2.419709134500749,1.6884968789165333,1.823834493022662
PIK3CA,57,0.09208400646203554,0.005541120050721549,0.43639133399264113,0.1217387715631114,0.005101183851020755,2.0728003600305347,0.18258570204756217,3.0382038481442053,1.6020891852805883,1.6991851582075364
INS,56,0.09046849757673668,0.011243125698496448,0.4377228102214516,0.09700112262928343,0.005860545876843746,2.0255318510111535,0.547142124577573,2.2686503726511953,1.9508471609119302,1.689621185710922
RAD51,63,0.10177705977382877,0.009773132276764554,0.39658231112669184,0.08103778060809272,0.005261412059049068,2.356411414146821,0.4531584325097912,1.7720532479304199,1.6756784135678844,1.627579935378496
SHC1,51,0.08239095315024234,0.020141746463970444,0.3952166695594512,0.0680630571284541,0.005825719668039132,1.7891893059142485,1.1160734010624354,1.3684278438337991,1.9348522629995042,1.5658906287022565
NFKB1,54,0.08723747980613894,0.009935801429091208,0.44074854393265983,0.07929581616818174,0.006074260877861788,1.9309948329723916,0.46355864743264663,1.7178631835267817,2.0490016755998646,1.5451108252238281
HIF1A,49,0.0791599353796446,0.007770261824783242,0.438056949771239,0.10966998388003758,0.004715541639217897,1.6946522878754864,0.3251053698036355,2.6627608328705827,1.4249723522909576,1.491951280239637
IL1B,51,0.08239095315024234,0.0068359851581565,0.4387267616210421,0.09428593388091665,0.005328761379404158,1.7891893059142485,0.26537260553118697,2.184184668431912,1.7066104483924218,1.4707184318176505
ATM,56,0.09046849757673668,0.005383158674692132,0.4027049854037355,0.09494174897071814,0.0042215070814033495,2.0255318510111535,0.17248647772187703,2.2045861537544464,1.1980733417846174,1.4325896663921858
KRAS,47,0.07592891760904685,0.0030162394026170027,0.4357286288537002,0.1095624497703351,0.004044146825354123,1.6001152698367243,0.021158037249046597,2.6594155979181036,1.1166157474439657,1.3205361228275292
FN1,41,0.06623586429725364,0.02170566458786114,0.4052645509889287,0.05132885794105916,0.005508930458419538,1.316504215720438,1.2160621474078417,0.8478504365506839,1.7893580722292428,1.292233714110099
RELA,46,0.07431340872374799,0.006636938595206034,0.443130968494458,0.07450545890251126,0.005099791694549014,1.5528467608173433,0.25264660920839593,1.5688419045640576,1.6014497989848087,1.2407163592979424
IGF1,46,0.07431340872374799,0.0042790290270525375,0.4244486717458011,0.08703385575643188,0.004564410883230408,1.5528467608173433,0.10189420208814681,1.9585827149005715,1.3555613800255137,1.231798735793324
CASP3,45,0.07269789983844911,0.0045529792886470745,0.431469627218288,0.08099194585446254,0.004698671038361996,1.5055782517979623,0.11940914919400203,1.7706273931918057,1.417224063066445,1.1943749666794377
STAT1,42,0.06785137318255251,0.002982070268453146,0.4404102871836708,0.09372664522922902,0.00431090424976718,1.3637727247398193,0.018973441497798164,2.1667859848762796,1.239131459527539,1.1632473029141501
MYC,41,0.06623586429725364,0.004701041482954808,0.435067933434665,0.10024902551174487,0.0036434241787465355,1.316504215720438,0.128875471608087,2.369688064549396,0.9325728084136261,1.1534475179967796
TGFB1,40,0.06462035541195477,0.0099079307213765,0.42953188937149933,0.07360053982118238,0.004262824015223372,1.2692357067010571,0.46177674013099074,1.5406911443224771,1.2170492843631895,1.111224768115251
PIK3R1,42,0.06785137318255251,0.0012566825379975025,0.43342492764374857,0.09770311835513343,0.003758916418473247,1.3637727247398193,-0.09133882708747411,2.2904884726280432,0.9856158081403555,1.1097066030407479
MSH2,45,0.07269789983844911,0.004926500826271052,0.3895822160219437,0.07499997153237593,0.0033293629563930266,1.5055782517979623,0.14329016298206163,1.5842254971603271,0.7883315211124798,1.0372863325293635
IRS1,38,0.06138933764135703,0.0025129714294302844,0.4301758652176335,0.08536731784684044,0.0037334820533897373,1.174698688662295,-0.011018285121043483,1.906739063800277,0.9739343737568286,0.9845246572629635
WRN,43,0.06946688206785137,0.005036989626268089,0.38308051014707817,0.06216848034605237,0.0034722237864077267,1.4110412337592002,0.15035423905365794,1.185055848314267,0.8539443015500338,0.9392530215519946
MLH1,42,0.06785137318255251,0.004213667273166371,0.3864340769025745,0.07122995609994437,0.003164160626202019,1.3637727247398193,0.09771531335338622,1.4669456179587652,0.7124577898911261,0.9376299635672616
ERCC4,46,0.07431340872374799,0.0023122604813576035,0.3267964716402751,0.05310568072320144,0.003777857364726137,1.5528467608173433,-0.023850693524661383,0.9031248949679075,0.9943149606487267,0.9170216640282317
CD44,35,0.05654281098546042,0.0043506042816369,0.42602420504849525,0.07385764325521926,0.0038643227435472363,1.032893161604152,0.10647034956410244,1.5486892706502267,1.034026573100194,0.9046733627025629
MSH6,41,0.06623586429725364,0.003848875046464208,0.38539597327086844,0.06752916092319265,0.0030577097024213264,1.316504215720438,0.07439240605581222,1.3518190835829558,0.663567264134845,0.8824518465596666
CDKN2A,35,0.05654281098546042,0.0012354977529494627,0.4228847488580126,0.08677281625675778,0.002999208885660763,1.032893161604152,-0.09269327145779747,1.9504621431052278,0.6366991488849655,0.8557715470950424
JAK2,34,0.05492730210016156,0.0016534202976018497,0.41644020624116335,0.08216463360887631,0.003179813711291503,0.9856246525847709,-0.06597348947501967,1.8071080603518586,0.7196469013854453,0.8338262483833756
PARP1,34,0.05492730210016156,0.004441894619846116,0.4225733462447151,0.05953589469640724,0.0035966028943278483,0.9856246525847709,0.1123069763871737,1.1031598103505682,0.9110688408526685,0.7758911027421106
HDAC1,32,0.051696284329563816,0.005911630584176495,0.43309781449080986,0.05582400445404289,0.003936973593403345,0.8910876345460088,0.20627420797507384,0.9876881240839761,1.0673934817183233,0.7744655452453314
ERCC1,42,0.06785137318255251,0.0007663312479043556,0.3260537523865472,0.0513761519342699,0.0033141205365647152,1.3637727247398193,-0.12268932428824263,0.8493216861808578,0.7813310189774362,0.7727786636185349
PMS2,37,0.05977382875605816,0.0032415409591753574,0.38462104839163747,0.06102064232065921,0.002794595248199497,1.127430179642914,0.03556264056286625,1.1493482212836148,0.5427246866905775,0.7419058046105749
GRB2,31,0.050080775444264945,0.002415422106996479,0.4125482416968534,0.0710391386421102,0.0030416067047051663,0.8438191255266279,-0.017255078664131635,1.4610095551480338,0.6561715178450599,0.7144591388669055
HRAS,31,0.050080775444264945,0.0006514390614235244,0.4125482416968534,0.07634658842483229,0.0028189608459068126,0.8438191255266279,-0.13003492986414159,1.6261168552485359,0.5539152601489241,0.6988343845477762
CHEK2,36,0.05815831987075929,0.0012239329742354988,0.38282495276872786,0.06273728705737372,0.002637167135956395,1.080161670623533,-0.09343266293085908,1.2027506253220577,0.47042147970065334,0.689332839990064
GSTP1,19,0.030694668820678516,0.040574212631104375,0.35076687298308257,0.008639566225417297,0.002481994852056901,0.27659701729405545,2.422418436385678,-0.48015340463826117,0.3991543241588323,0.6862137490534532
MDM2,30,0.048465266558966075,0.0008975071098388624,0.42570816335335543,0.07876109045621854,0.0026398170624373687,0.7965506165072468,-0.11430262565917415,1.7012286184887906,0.471638531599021,0.6847904893803052
NRAS,31,0.050080775444264945,0.0006877056998440572,0.4119559254847976,0.07262515615053824,0.0028348412417651373,0.8438191255266279,-0.1277162306596015,1.5103483297853655,0.5612087703896702,0.6777190563044265
PALB2,36,0.05815831987075929,0.0012688716299156327,0.38308051014707817,0.06048942595638356,0.0026311445407052273,1.080161670623533,-0.09055952029297856,1.132822827117799,0.4676554365533577,0.6755123573792232
IGF1R,29,0.04684975767366721,0.0019760517497125606,0.41887197386884895,0.07328861274192124,0.002863153436021931,0.7492821074878657,-0.045346121625420774,1.5309875314776227,0.5742119272751877,0.6719520989649599
BARD1,35,0.05654281098546042,0.0023597337137008533,0.3841061607766554,0.0595323643487601,0.002622835877590477,1.032893161604152,-0.02081550330948775,1.1030499861991776,0.4638394536235257,0.6696866186986219
BLM,36,0.05815831987075929,0.001179582680090523,0.3810455539178772,0.05895146075733261,0.0026502530849423305,1.080161670623533,-0.0962681888090131,1.0849788922603316,0.4764315630632018,0.66627162858069
EXO1,36,0.05815831987075929,0.001085490005040686,0.38079270351713546,0.05798350589775503,0.0026025023688826827,1.080161670623533,-0.1022839823948776,1.0548671775900802,0.45450072836039856,0.654359170309613
TLR4,32,0.051696284329563816,0.002300717400441535,0.38333640895145166,0.046285861978616956,0.0035136928344165507,0.8910876345460088,-0.024588697753994016,0.6909699229588014,0.8729901067695427,0.6185255035982734
PIK3R3,31,0.050080775444264945,0.00013534232671630193,0.37070710865653944,0.06432500932366952,0.002776765245028664,0.8438191255266279,-0.16303145615795642,1.2521424325796482,0.5345357654647358,0.6119144695037074
FANCD2,36,0.05815831987075929,0.0002570889807109705,0.32329836856356226,0.04930289099702928,0.002725686056027798,1.080161670623533,-0.1552476117746007,0.7848254535709902,0.5110762376676672,0.5984250200223179
XRCC6,33,0.053311793214862686,0.0007083708230644407,0.3843634321502499,0.05928172733466957,0.0024975442377182006,0.9383561435653899,-0.1263950107489715,1.0952530211037272,0.406295808827714,0.5971356635469318
MRE11,34,0.05492730210016156,0.0009914466513642544,0.3802880080850385,0.05611393340651668,0.0024730357928175327,0.9856246525847709,-0.10829662263005224,0.9967074061353576,0.39503962885194355,0.596243879744617
PTPN11,28,0.04523424878836834,0.0008478599811969287,0.39278206995230874,0.06535272517149143,0.00266340206529536,0.7020135984684848,-0.11747680343531394,1.2841132275661147,0.48247059532132497,0.569652323182629
NF1,27,0.04361873990306947,0.0031224864439084836,0.4110706333813202,0.0653013722193218,0.002429601257703916,0.6547450894491037,0.02795091745124974,1.2825157094299053,0.3750911194143061,0.567669876438841
SMAD4,26,0.0420032310177706,0.0005108550441023018,0.42040630344346014,0.07424742705487254,0.0024398659222914635,0.6074765804297226,-0.1390231367487703,1.5608148965945687,0.3798054500238832,0.5659850882869008
MTOR,26,0.0420032310177706,0.001054592892418803,0.4149346378888815,0.07027346440129961,0.0025257394319680546,0.6074765804297226,-0.10425938219974029,1.4371905061071402,0.41924523022978405,0.5578391048678527
