Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,302,0.4460856720827179,0.37859140763104987,0.5854828668042042,0.2661408820011879,0.034138094961219764,12.594165804420793,22.268220666880897,7.92859577392299,15.67108260065864,14.694948873183828
EGFR,189,0.27917282127031023,0.15830594855686222,0.5239037320869174,0.21414030107648,0.018531925950250886,7.6561442131214354,9.22310411861953,6.231905929046328,8.183579907928978,7.868523671642445
AKT1,156,0.23042836041358938,0.06233027678079343,0.4996793432208295,0.20295793310599533,0.014059877698309058,6.214067111237552,3.5395068926453734,5.867044424813009,6.0379877831162405,5.440806653680337
STAT3,159,0.23485967503692765,0.05384235323903893,0.5016450369392436,0.21047322664596385,0.013627443598286182,6.345165029590632,3.036859317447827,6.112255574453706,5.83051524542466,5.368576753694351
IL6,142,0.20974889217134418,0.045122107569081485,0.4804753895627569,0.1662416897316234,0.012738412901097009,5.602276825589843,2.5204538244472405,4.669056322227848,5.403977525985339,4.605517114710893
TNF,119,0.1757754800590842,0.07138258321129788,0.4722895125553915,0.12666248510118208,0.011799569036255316,4.597192784882894,4.075576739982582,3.377654699965253,4.953540525007449,4.294150704699199
BRCA1,120,0.1772525849335303,0.07200801212898468,0.4586984474458838,0.13586367594096688,0.009955661327833064,4.6408920910005875,4.1126141057631775,3.677873789464256,4.068873447375983,4.201815205659048
SRC,115,0.16986706056129985,0.024668959422972567,0.4660751768638731,0.16857149060762847,0.009627354967955594,4.422395560412121,1.3092358781233784,4.745073732353055,3.9113591495431788,3.606433992054334
CTNNB1,107,0.15805022156573117,0.03743335535186568,0.4740452356503929,0.15201094513807833,0.009965775475915485,4.072801111470573,2.065132491818998,4.204731512628868,4.073725997091969,3.5974550139136174
MYC,105,0.15509601181683902,0.025377001904609186,0.4740452356503929,0.16351798672880008,0.008800460662048582,3.985402499235186,1.3511655485287193,4.580186560714192,3.514633128075006,3.3516461996223343
CD44,90,0.1329394387001477,0.04053380545342124,0.45902868390912777,0.11455586946381986,0.008789076749650624,3.329912907469785,2.2487384960321033,2.982636578196975,3.509171372875918,3.0260157318370293
CCND1,93,0.13737075332348597,0.013011985438425487,0.4630289338778348,0.13687978654369967,0.008119822042248885,3.461010825822865,0.6189198451561073,3.711027737175426,3.188077424689756,2.745904782700066
EP300,75,0.11078286558345643,0.017964427886590233,0.4394147773602884,0.09011228881248975,0.0074573779060446745,2.6744233157043826,0.9121992527320212,2.185084429239546,2.870251041409798,2.1751650678094077
FN1,74,0.10930576070901035,0.016229469991447268,0.4230861592234761,0.09368874075407423,0.007240139747637097,2.6307240095866895,0.80945652952375,2.3017779273133834,2.766024866818383,2.1366780945626322
JUN,67,0.09896602658788775,0.010313613884556396,0.454772355171026,0.11804060307167868,0.005743013864513561,2.3248288667628354,0.4591245887707071,3.0963374642142916,2.0477362161339054,1.9572859866293084
ERBB2,68,0.10044313146233383,0.006759480957888926,0.4471184024893257,0.11876967221514188,0.0052494112067170105,2.368528172880529,0.24865187554102483,3.120125740997546,1.810916326076804,1.877356242808311
