Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,107,0.4553191489361702,0.22673120869823632,0.6351351351351351,0.2110627144198464,0.029453525264879432,5.199833484740564,10.300397886925682,3.478616278569719,6.082951410617946,6.307354729228151
CTNNB1,86,0.36595744680851067,0.17753072785025809,0.5904522613065326,0.19285537869024869,0.024716116232463572,4.0105047626446515,8.000738894630278,3.0996937324402674,4.940138991435085,5.0118279353582675
EGFR,88,0.37446808510638296,0.09013394859220078,0.5949367088607594,0.21260860578798976,0.02189835366673066,4.123774164749024,3.915762775403858,3.5107886459031885,4.260405822440388,3.976500545181838
STAT3,90,0.3829787234042553,0.06665430370478174,0.5919395465994962,0.21815940196866407,0.02152398215909823,4.237043566853397,2.818310564152252,3.626309217010558,4.170095611651523,3.7468238551691684
AKT1,80,0.3404255319148936,0.058791706750206216,0.5788177339901478,0.2039748993715348,0.018933225263634217,3.6706965563315337,2.4508082251964107,3.331107990455112,3.5451233673380393,3.2726921225737695
ERBB2,73,0.31063829787234043,0.055321316540097906,0.5649038461538461,0.1740527925640429,0.01731771258329549,3.2742536489662295,2.2886001752769665,2.708383113765933,3.1554107751160845,2.8908975987338255
BCL2,65,0.2765957446808511,0.06665168101011595,0.5516431924882629,0.15479250889167778,0.017022240935380576,2.821176040548739,2.8181879778834134,2.307547108064986,3.0841336980380696,2.770294769883523
IL6,61,0.25957446808510637,0.03872368651896097,0.5389908256880734,0.16022393845078195,0.014787618675812528,2.5946372363399934,1.512817327811805,2.4205834769343144,2.545072356080325,2.279458531274877
EGF,61,0.25957446808510637,0.01703241968848173,0.5402298850574713,0.18410480687380362,0.013359308141958034,2.5946372363399934,0.498954943516827,2.9175809290065473,2.200518823681155,2.056481719135745
FGF2,51,0.2170212765957447,0.02144945435928288,0.5153508771929824,0.1567714725943028,0.011332255557720036,2.02829022581813,0.7054097042207732,2.348732374049698,1.7115298316492455,1.6983064462313275
CCND1,49,0.20851063829787234,0.027117568177292543,0.5316742081447964,0.14209780360443156,0.011998546578728399,1.9150208237137576,0.9703406294126432,2.0433508455669673,1.8722602326739768,1.6959646613011647
CD44,48,0.2042553191489362,0.022253185158866363,0.5199115044247787,0.14109091235969368,0.012040633439366568,1.8583861226615714,0.7429765476497615,2.022395896430103,1.8824129103702893,1.6171410412040688
MMP9,50,0.2127659574468085,0.013020889202958708,0.5269058295964125,0.15604569304324883,0.01149361084654394,1.971655524765944,0.31145368347011243,2.3336277898591073,1.7504538145071835,1.5847591754088666
CASP3,46,0.19574468085106383,0.02134399134059512,0.5187637969094923,0.12736431653856942,0.011620896590596487,1.7451167205571987,0.7004803015990936,1.7367244112948523,1.7811591490250267,1.4894876396587686
SRC,45,0.19148936170212766,0.018633011015402146,0.5153508771929824,0.14236723860189485,0.01069303556476487,1.6884820195050123,0.5737675098678695,2.048958200578783,1.5573298160836446,1.4556681876262072
IL1B,46,0.19574468085106383,0.02008810791330628,0.5153508771929824,0.12385422694774373,0.010947578319314234,1.7451167205571987,0.6417795822755702,1.6636740702317154,1.6187335536797804,1.4277172725462113
MET,47,0.2,0.0077647597280333085,0.5142231947483589,0.1386861905006096,0.010510581635457658,1.801751421609385,0.06577914526734586,1.9723499510424953,1.5133161759452791,1.344191009277676
STAT1,44,0.18723404255319148,0.015320574032273684,0.5119825708061002,0.12304878721772114,0.010349444370772726,1.6318473184528262,0.4189422853299218,1.646911635695077,1.4744447873835047,1.300153417406686
