Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,111,0.676829268292683,0.23636515360203722,0.7488584474885844,0.22725951134941635,0.030987796043425532,4.849872860619636,10.541359694526221,3.32742304015601,5.549635440197242,6.108207120919078
PTEN,79,0.48170731707317077,0.07138273071540706,0.6482213438735178,0.19462211582153507,0.02034359405406392,3.123031623579264,2.9622053107959214,2.6810158850228314,3.1798761278362053,3.0057907985235297
CTNNB1,74,0.45121951219512196,0.0765462745039953,0.6356589147286822,0.1786327419202424,0.020845280843264022,2.8532126802917057,3.1994141895123787,2.3643348040503676,3.291568572397449,2.929658660769755
EGFR,75,0.4573170731707317,0.06801918570623154,0.6431372549019608,0.18731608946898073,0.01944139731498217,2.9071764689492174,2.807686869042374,2.5363147643145867,2.979016624591382,2.822499759174013
STAT3,73,0.4451219512195122,0.044173560145180236,0.6332046332046332,0.18171744788159866,0.01870126794785977,2.7992488916341944,1.7122387943827841,2.425429630173955,2.814238798894053,2.455730496481266
SRC,71,0.4329268292682927,0.03306421295957519,0.6142322097378277,0.1857435070921959,0.017567061231382068,2.691321314319171,1.201884685448288,2.5051686362627423,2.5617260289182675,2.255812564409984
BRCA1,58,0.3536585365853659,0.0662803807450336,0.5899280575539568,0.12870966512061877,0.016281320351943424,1.98979206177152,2.727807624856639,1.3755722656311498,2.275476629914168,2.1085889069432553
CCND1,61,0.3719512195121951,0.04030362698240616,0.5963636363636363,0.1598577578043158,0.015972123477934502,2.1516834277440546,1.5344573048023002,1.9924827039133017,2.206638949807394,1.9765278566551334
AKT1,61,0.3719512195121951,0.020642001687246142,0.5963636363636363,0.17814904312522262,0.014779135841616607,2.1516834277440546,0.6312186995026643,2.3547548005919734,1.9410395593109098,1.7700527465666618
ERBB2,56,0.34146341463414637,0.021867155932583215,0.5878136200716846,0.15756438673908135,0.013748989909748608,1.8818644844564967,0.6875012598313667,1.9470608360845245,1.7116942389595209,1.5622788995264247
KRAS,57,0.34756097560975613,0.01637226168081044,0.592057761732852,0.16682526329369837,0.013645462726140931,1.9358282731140082,0.43507041824361703,2.130479174799561,1.6886455869626869,1.5501324525032567
MYC,56,0.34146341463414637,0.013157174958536869,0.5815602836879432,0.16583156072149424,0.013914695435461245,1.8818644844564967,0.28737202590071065,2.1107981787409673,1.74858589256208,1.502372390295561
JUN,54,0.32926829268292684,0.01958000486959899,0.5815602836879432,0.14653881809518843,0.014275813986485903,1.7739369071414732,0.5824314548062457,1.7286914979203933,1.828983093781327,1.4780206995414211
HIF1A,50,0.3048780487804878,0.019841886084216286,0.563573883161512,0.13289315787428296,0.013612862878006813,1.5580817525114266,0.5944620585581811,1.4584293565747632,1.681387758355658,1.3219075510046288
EGF,50,0.3048780487804878,0.013061762861739202,0.5655172413793104,0.14164059758082906,0.01262811817450879,1.5580817525114266,0.2829888740530629,1.6316787082449067,1.4621502867495217,1.2348416308911507
PIK3CA,46,0.2804878048780488,0.009078232214045875,0.5655172413793104,0.1414900258888904,0.011091749171898023,1.34222659788138,0.09998881111947654,1.6286965273001524,1.1201025921643815,1.044536335931259
ESR1,44,0.2682926829268293,0.007623805096186515,0.5597269624573379,0.14482755215483675,0.010693563720835443,1.2342990205663569,0.03317364697490086,1.6947986418794125,1.0314530455243123,0.9855484064226951
CDKN2A,44,0.2682926829268293,0.0078283643436787,0.5578231292517006,0.13048815883814344,0.011008074918915848,1.2342990205663569,0.04257092754719749,1.4107966162808594,1.101473873881175,0.945101487117431
ATM,43,0.2621951219512195,0.014221166952659348,0.5412541254125413,0.10176013841608364,0.011131901473629767,1.1803352319088452,0.3362509273340392,0.8418174543937634,1.1290418523396983,0.8913519243482979
HSP90AA1,42,0.25609756097560976,0.005517168499926966,0.5540540540540541,0.13890363766102562,0.010188116456260499,1.1263714432513336,-0.06360347457603456,1.5774712432539486,0.9189233919785583,0.8776080635404595
BCL2,41,0.25,0.0041893621248913675,0.5521885521885522,0.13637572098291206,0.010120516459198325,1.072407654593822,-0.12460178780247728,1.5274040304177663,0.9038733466380271,0.830447707568377
HRAS,39,0.2378048780487805,0.003959249680950154,0.5377049180327869,0.12776333585812277,0.009462481930483983,0.9644800772787987,-0.13517296082644478,1.3568295321349446,0.7573726081294523,0.7266152148938477
MDM2,38,0.23170731707317074,0.008165050722371392,0.543046357615894,0.11389980958477515,0.00972556490303684,0.9105162886212871,0.05803801790969328,1.0822523965049538,0.8159437743619101,0.7128294396682466
CASP3,36,0.21951219512195122,0.00777624161223345,0.5377049180327869,0.10800029693626702,0.009388771359420935,0.8025887113062637,0.04017645290187896,0.9654082940232901,0.7409621423781738,0.6322242494629547
NRAS,37,0.22560975609756098,0.0033943874972478813,0.5342019543973942,0.11788037364561917,0.00904924763349499,0.8565524999637755,-0.16112225664174756,1.161090338343709,0.6653726794870457,0.6248054143930355
CDH1,33,0.20121951219512196,0.008922011043922947,0.5290322580645161,0.10945733607356865,0.00883063215335604,0.6406973453337289,0.09281214135276883,0.994266004892292,0.6167014808003483,0.5696406033435254
MSH6,33,0.20121951219512196,0.022851485505391206,0.5093167701863354,0.05086561682907586,0.010246541890833127,0.6406973453337289,0.7327205363230785,-0.16618524860431919,0.9319308694574343,0.5605733291181978
PIK3R1,35,0.21341463414634146,0.0038933303962722507,0.5412541254125413,0.11147526246820329,0.008615590760502397,0.7486249226487521,-0.13820123757676386,1.034232492380842,0.5688259948064404,0.5480801109703288
