Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
TP53,249,0.41919191919191917,0.2949869821689315,0.5688889606800054,0.25899751286704603,0.02840691269284699,10.881637980136487,19.829049912586743,7.286727309804647,13.325284404211473,12.888238113997682
EGFR,155,0.2609427609427609,0.11075837220876696,0.5106390862371724,0.19205400678557225,0.016004743022616303,6.513801177597114,7.326399121309772,5.196870018850304,7.141757074378751,6.579155611132244
STAT3,160,0.26936026936026936,0.09144612178094828,0.5101509035543452,0.21832975133573723,0.015619553448584294,6.746132922413038,6.015775743404921,6.017152067665982,6.9497075925924525,6.4584623907474805
TNF,112,0.18855218855218855,0.06594717654648637,0.4684967911482398,0.15879546433859004,0.011343943556960907,4.515748172180166,4.285293122484598,4.158597429202128,4.817955542786431,4.44714573528192
BRCA1,107,0.18013468013468012,0.08159541362815032,0.452602073891302,0.13412851692322716,0.008910434524560086,4.2834164273642426,5.347258708467466,3.3885391678549572,3.604646096991261,4.234647479663595
IL6,113,0.19023569023569023,0.034715717552359936,0.47097779798574146,0.18084223479360093,0.010419168185938969,4.562214521143352,2.165774196569231,4.846858422304671,4.356877043401251,3.9789657246836656
AKT1,105,0.17676767676767677,0.031091408232396416,0.47517172316816125,0.15913482087710926,0.01009297724458123,4.190483729437873,1.9198109132503562,4.16919153724592,4.194243354759584,3.6193090120169455
MYC,99,0.16666666666666666,0.03772461755549865,0.47815219096581096,0.15115150978241948,0.009463228595904311,3.9116856356587637,2.3699728061839367,3.9199667524417183,3.880260553075616,3.5216286351300186
CTNNB1,98,0.16498316498316498,0.03934133696465235,0.4722281815202169,0.1420565857282594,0.009883087575906726,3.865219286695579,2.479691259818793,3.636039386550099,4.089595657057655,3.5178765740197013
IL1B,89,0.14983164983164982,0.012694147943719602,0.45491717401350823,0.15091322362086634,0.00820892851357986,3.4470221460269155,0.6712832228156881,3.9125278819491975,3.25488619962828,2.807761373128838
TLR4,74,0.12457912457912457,0.04736618920025953,0.40890256330869357,0.10139353530068203,0.007771679205179553,2.7500269115791434,3.0242968190481085,2.3666112166975735,3.036880550589819,2.799281977272206
IFNG,77,0.12962962962962962,0.01264690342840971,0.4446815375982043,0.13749614433260568,0.006872295449950786,2.889425958468698,0.6680769798936442,3.4936705107837533,2.58846191269505,2.3947448151332162
IL10,75,0.12626262626262627,0.00704189190215569,0.43846988095139283,0.13425290688436045,0.006638254925015007,2.796493260542328,0.2876935974809501,3.392422401381441,2.4717729767500325,2.223535116186347
CD44,62,0.10437710437710437,0.02814965934876098,0.4446815375982043,0.10789398676993099,0.006460962170440991,2.1924307240209253,1.7201695056770399,2.5695437592651995,2.3833775892944633,2.1879773995385166
