#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0032991	Protein-containing complex	24	5506	0.47	0.52	2.73e-06	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,PIK3CA,STAT3,TP53,ERBB2,EGFR,ATM,RUNX1,FN1,JUN,BRCA2,JAK2,GRB2,BCL2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0005667	Transcription regulator complex	9	517	1.07	1.11	2.54e-05	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,EP300,STAT3,TP53,RUNX1,JUN,ESR1,MYC,CTNNB1
GO:0070013	Intracellular organelle lumen	23	5660	0.44	0.47	2.54e-05	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,STAT3,EGF,TP53,EGFR,ATM,RUNX1,FN1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,IL6,ESR1,BRCA1,AKT1,MYC,PTPN11,CTNNB1
GO:0017053	Transcription repressor complex	5	77	1.64	1.54	4.11e-05	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,TP53,JUN,MYC,CTNNB1
GO:0005654	Nucleoplasm	19	4169	0.49	0.49	9.86e-05	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,STAT3,TP53,ATM,RUNX1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,ESR1,BRCA1,AKT1,MYC,PTPN11,CTNNB1
GO:0000791	Euchromatin	4	60	1.66	1.21	0.00051	9606.ENSP00000360266,9606.ENSP00000371067,9606.ENSP00000405330,9606.ENSP00000495360	JUN,JAK2,ESR1,CTNNB1
GO:0005634	Nucleus	23	7672	0.31	0.32	0.0023	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,FGF2,STAT3,TP53,ERBB2,EGFR,ATM,RUNX1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0043231	Intracellular membrane-bounded organelle	28	12149	0.19	0.26	0.0029	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,RUNX1,FN1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0005829	Cytosol	19	5438	0.38	0.35	0.0040	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,STAT3,TP53,ERBB2,ATM,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,ESR1,PIK3R1,AKT1,PTPN11,CTNNB1
GO:0005694	Chromosome	11	1850	0.61	0.46	0.0056	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000495360	EP300,STAT3,TP53,RUNX1,JUN,BRCA2,JAK2,ESR1,BRCA1,MYC,CTNNB1
