#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:162	Cancer	26	978	1.26	2.96	2.51e-27	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,RUNX1,JUN,PTEN,SRC,BRCA2,JAK2,BCL2,IL6,TNF,ESR1,BRCA1,AKT1,MYC,PTPN11,CTNNB1
DOID:0050686	Organ system cancer	23	757	1.31	3.15	2.28e-24	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,STAT3,EGF,TP53,ERBB2,EGFR,ATM,RUNX1,PTEN,BRCA2,JAK2,BCL2,IL6,TNF,ESR1,BRCA1,AKT1,MYC,PTPN11,CTNNB1
DOID:3118	Hepatobiliary disease	16	168	1.81	5.6	1.18e-22	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,STAT3,TP53,ERBB2,EGFR,PTEN,BRCA2,JAK2,BCL2,IL6,TNF,BRCA1,AKT1,MYC,CTNNB1
DOID:0050687	Cell type cancer	18	451	1.43	3.43	1.06e-19	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,PTEN,BRCA2,BCL2,TNF,ESR1,BRCA1,AKT1,MYC,CTNNB1
DOID:1612	Breast cancer	12	62	2.12	6.21	1.15e-19	9606.ENSP00000227507,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887	CCND1,EGF,TP53,ERBB2,EGFR,ATM,PTEN,BRCA2,ESR1,BRCA1,AKT1,MYC
DOID:0080355	Hepatobiliary system cancer	12	68	2.08	6.0	2.69e-19	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,STAT3,TP53,EGFR,PTEN,BRCA2,BCL2,BRCA1,AKT1,MYC,CTNNB1
DOID:15	Reproductive system disease	16	317	1.54	3.8	8.61e-19	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	EP300,IL1B,PIK3CA,STAT3,TP53,ERBB2,ATM,PTEN,BRCA2,IL6,TNF,ESR1,BRCA1,AKT1,MYC,CTNNB1
DOID:229	Female reproductive system disease	14	192	1.69	4.39	3.31e-18	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	IL1B,PIK3CA,TP53,ERBB2,ATM,PTEN,BRCA2,IL6,TNF,ESR1,BRCA1,AKT1,MYC,CTNNB1
DOID:77	Gastrointestinal system disease	18	576	1.33	2.88	3.31e-18	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,IL1B,PIK3CA,STAT3,TP53,ERBB2,EGFR,PTEN,BRCA2,JAK2,BCL2,IL6,TNF,ESR1,BRCA1,AKT1,MYC,CTNNB1
DOID:3119	Gastrointestinal system cancer	13	161	1.74	4.42	2.44e-17	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,STAT3,TP53,ERBB2,EGFR,PTEN,BRCA2,BCL2,BRCA1,AKT1,MYC,CTNNB1
DOID:409	Liver disease	11	97	1.89	4.61	7.66e-16	9606.ENSP00000227507,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,STAT3,TP53,ERBB2,JAK2,BCL2,IL6,TNF,AKT1,MYC,CTNNB1
DOID:5295	Intestinal disease	13	216	1.61	3.72	8.16e-16	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	IL1B,STAT3,TP53,ERBB2,EGFR,BRCA2,JAK2,BCL2,IL6,TNF,AKT1,MYC,CTNNB1
DOID:305	Carcinoma	14	307	1.49	3.28	1.16e-15	9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	PIK3CA,STAT3,TP53,ERBB2,EGFR,PTEN,BRCA2,BCL2,TNF,ESR1,BRCA1,AKT1,MYC,CTNNB1
DOID:193	Reproductive organ cancer	12	167	1.69	3.91	2.48e-15	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	EP300,PIK3CA,STAT3,TP53,ERBB2,PTEN,BRCA2,ESR1,BRCA1,AKT1,MYC,CTNNB1
