#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019899	Enzyme binding	20	2084	0.81	1.06	6.36e-10	9606.ENSP00000227507,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,STAT3,TP53,ERBB2,EGFR,FN1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,TNF,ESR1,BRCA1,PIK3R1,AKT1,PTPN11,CTNNB1
GO:0005515	Protein binding	29	7242	0.43	0.53	6.39e-10	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,RUNX1,FN1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0019900	Kinase binding	13	785	1.05	1.38	4.32e-08	9606.ENSP00000227507,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,STAT3,TP53,EGFR,PTEN,SRC,JAK2,GRB2,ESR1,PIK3R1,AKT1,PTPN11,CTNNB1
GO:0019903	Protein phosphatase binding	8	152	1.55	2.17	7.19e-08	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000428056,9606.ENSP00000495360	STAT3,TP53,ERBB2,EGFR,GRB2,BCL2,PIK3R1,CTNNB1
GO:0019901	Protein kinase binding	12	702	1.06	1.36	1.34e-07	9606.ENSP00000227507,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,STAT3,TP53,PTEN,SRC,JAK2,GRB2,ESR1,PIK3R1,AKT1,PTPN11,CTNNB1
GO:0042802	Identical protein binding	17	2144	0.73	0.83	4.44e-07	9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000451828	FGF2,STAT3,TP53,ERBB2,EGFR,ATM,RUNX1,FN1,JUN,PTEN,BRCA2,JAK2,GRB2,BCL2,TNF,ESR1,AKT1
GO:0070851	Growth factor receptor binding	7	135	1.55	1.93	7.13e-07	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000385675	IL1B,FGF2,EGF,SRC,JAK2,GRB2,IL6
GO:0140297	DNA-binding transcription factor binding	10	484	1.15	1.41	7.13e-07	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	EP300,STAT3,TP53,RUNX1,JUN,SRC,BCL2,ESR1,MYC,CTNNB1
GO:0098772	Molecular function regulator activity	16	1960	0.74	0.83	9.09e-07	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828	CCND1,IL1B,PIK3CA,FGF2,EGF,TP53,EGFR,FN1,JUN,SRC,BCL2,IL6,TNF,ESR1,PIK3R1,AKT1
GO:0043560	Insulin receptor substrate binding	4	10	2.43	2.31	1.67e-06	9606.ENSP00000263967,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000428056	PIK3CA,JAK2,GRB2,PIK3R1
