#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05200	Pathways in cancer	23	515	1.48	4.29	9.05e-29	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,EP300,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,RUNX1,FN1,JUN,PTEN,BRCA2,JAK2,GRB2,BCL2,IL6,ESR1,PIK3R1,AKT1,MYC,CTNNB1
hsa05224	Breast cancer	17	146	1.9	6.7	1.33e-26	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,FGF2,EGF,TP53,ERBB2,EGFR,JUN,PTEN,BRCA2,GRB2,ESR1,BRCA1,PIK3R1,AKT1,MYC,CTNNB1
hsa05205	Proteoglycans in cancer	17	194	1.77	5.72	8.46e-25	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,PIK3CA,FGF2,STAT3,TP53,ERBB2,EGFR,FN1,SRC,GRB2,TNF,ESR1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
hsa01521	EGFR tyrosine kinase inhibitor resistance	14	77	2.09	7.19	4.27e-24	9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,FGF2,STAT3,EGF,ERBB2,EGFR,PTEN,SRC,JAK2,GRB2,BCL2,IL6,PIK3R1,AKT1
hsa05213	Endometrial cancer	12	58	2.15	6.66	4.90e-21	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,PIK3CA,EGF,TP53,ERBB2,EGFR,PTEN,GRB2,PIK3R1,AKT1,MYC,CTNNB1
hsa04151	PI3K-Akt signaling pathway	17	349	1.52	3.94	5.99e-21	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887	CCND1,PIK3CA,FGF2,EGF,TP53,ERBB2,EGFR,FN1,PTEN,JAK2,GRB2,BCL2,IL6,BRCA1,PIK3R1,AKT1,MYC
hsa05215	Prostate cancer	13	97	1.96	5.94	7.32e-21	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000495360	CCND1,EP300,PIK3CA,EGF,TP53,ERBB2,EGFR,PTEN,GRB2,BCL2,PIK3R1,AKT1,CTNNB1
hsa04630	JAK-STAT signaling pathway	14	158	1.78	5.08	2.49e-20	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597	CCND1,EP300,PIK3CA,STAT3,EGF,EGFR,JAK2,GRB2,BCL2,IL6,PIK3R1,AKT1,MYC,PTPN11
hsa05161	Hepatitis B	14	158	1.78	5.08	2.49e-20	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887	EP300,PIK3CA,STAT3,TP53,JUN,SRC,JAK2,GRB2,BCL2,IL6,TNF,PIK3R1,AKT1,MYC
hsa05206	MicroRNAs in cancer	14	159	1.78	5.07	2.49e-20	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000478887	CCND1,EP300,PIK3CA,STAT3,TP53,ERBB2,EGFR,ATM,PTEN,GRB2,BCL2,BRCA1,PIK3R1,MYC
