Table S4. List of predicted carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
176,Acetic Acid,C2H4O2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,60.05,0.687
180,Acetone,C3H6O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CC(=O)C,CSCPPACGZOOCGX-UHFFFAOYSA-N,propan-2-one,58.08,0.8705
261,Butanal,C4H8O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,butanal,72.11,0.7888
335,O-Cresol,C7H8O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",CC1=CC=CC=C1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,2-methylphenol,108.14,0.6857
527,Propanal,C3H6O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N,propanal,58.08,0.8804
674,Dimethylamine,C2H7N,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,N-methylmethanamine,45.08,0.8588
887,Methanol,CH4O,"InChI=1S/CH4O/c1-2/h2H,1H3",CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,32.042,0.8569
1146,Trimethylamine,C3H9N,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,"N,N-dimethylmethanamine",59.11,0.8791
2879,P-Cresol,C7H8O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",CC1=CC=C(C=C1)O,IWDCLRJOBJJRNH-UHFFFAOYSA-N,4-methylphenol,108.14,0.8551
3024,Dibromomethane,CH2Br2,InChI=1S/CH2Br2/c2-1-3/h1H2,C(Br)Br,FJBFPHVGVWTDIP-UHFFFAOYSA-N,dibromomethane,173.83,0.9013
3026,Dibutyl Phthalate,C16H22O4,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DOIRQSBPFJWKBE-UHFFFAOYSA-N,"dibutyl benzene-1,2-dicarboxylate",278.34,0.7599
3283,Diethyl Ether,C4H10O,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,ethoxyethane,74.12,0.7852
4093,Methacrylic Acid,C4H6O2,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)",CC(=C)C(=O)O,CERQOIWHTDAKMF-UHFFFAOYSA-N,2-methylprop-2-enoic acid,86.09,0.7383
4684,4-Chlorophenol,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",C1=CC(=CC=C1O)Cl,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,4-chlorophenol,128.55,0.8269
6169,Yohimbine Hydrochloride,C21H27ClN2O3,"InChI=1S/C21H26N2O3.ClH/c1-26-21(25)19-15-10-17-20-14(13-4-2-3-5-16(13)22-20)8-9-23(17)11-12(15)6-7-18(19)24;/h2-5,12,15,17-19,22,24H,6-11H2,1H3;1H/t12-,15-,17-,18-,19+;/m0./s1",COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,PIPZGJSEDRMUAW-VJDCAHTMSA-N,"methyl (1S,15R,18S,19R,20S)-18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate;hydrochloride",390.9,0.5377
6324,Ethane,C2H6,InChI=1S/C2H6/c1-2/h1-2H3,CC,OTMSDBZUPAUEDD-UHFFFAOYSA-N,ethane,30.07,0.9004
6326,Acetylene,C2H2,InChI=1S/C2H2/c1-2/h1-2H,C#C,HSFWRNGVRCDJHI-UHFFFAOYSA-N,acetylene,26.04,0.8851
6329,Methylamine,CH5N,"InChI=1S/CH5N/c1-2/h2H2,1H3",CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,methanamine,31.057,0.8383
6334,Propane,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",CCC,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,propane,44.1,0.8923
6341,Ethylamine,C2H7N,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",CCN,QUSNBJAOOMFDIB-UHFFFAOYSA-N,ethanamine,45.08,0.7624
6347,Isocyanic acid,CHNO,InChI=1S/CHNO/c2-1-3/h2H,C(=N)=O,OWIKHYCFFJSOEH-UHFFFAOYSA-N,isocyanic acid,43.025,0.8444
6348,Carbon Disulfide,CS2,InChI=1S/CS2/c2-1-3,C(=S)=S,QGJOPFRUJISHPQ-UHFFFAOYSA-N,methanedithione,76.15,0.871
6363,Isopropylamine,C3H9N,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",CC(C)N,JJWLVOIRVHMVIS-UHFFFAOYSA-N,propan-2-amine,59.11,0.8131
6364,2-Propanethiol,C3H8S,"InChI=1S/C3H8S/c1-3(2)4/h3-4H,1-2H3",CC(C)S,KJRCEJOSASVSRA-UHFFFAOYSA-N,propane-2-thiol,76.16,0.8378
6371,Phosgene,CCl2O,InChI=1S/CCl2O/c2-1(3)4,C(=O)(Cl)Cl,YGYAWVDWMABLBF-UHFFFAOYSA-N,carbonyl dichloride,98.91,0.8753
6385,Tert-Butylamine,C4H11N,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",CC(C)(C)N,YBRBMKDOPFTVDT-UHFFFAOYSA-N,2-methylpropan-2-amine,73.14,0.8057
6403,"2,2-Dimethylbutane",C6H14,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",CCC(C)(C)C,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,"2,2-dimethylbutane",86.18,0.8311
6406,Acetone Cyanohydrin,C4H7NO,"InChI=1S/C4H7NO/c1-4(2,6)3-5/h6H,1-2H3",CC(C)(C#N)O,MWFMGBPGAXYFAR-UHFFFAOYSA-N,2-hydroxy-2-methylpropanenitrile,85.1,0.7009
6510,Trimethylolpropane,C6H14O3,"InChI=1S/C6H14O3/c1-2-6(3-7,4-8)5-9/h7-9H,2-5H2,1H3",CCC(CO)(CO)CO,ZJCCRDAZUWHFQH-UHFFFAOYSA-N,"2-ethyl-2-(hydroxymethyl)propane-1,3-diol",134.17,0.5586
6535,Triethyl Phosphate,C6H15O4P,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",CCOP(=O)(OCC)OCC,DQWPFSLDHJDLRL-UHFFFAOYSA-N,triethyl phosphate,182.15,0.8185
6556,Isopentane,C5H12,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",CCC(C)C,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-methylbutane,72.15,0.8325
6560,Isobutanol,C4H10O,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methylpropan-1-ol,74.12,0.6142
6568,(+-)-2-Butanol,C4H10O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,74.12,0.5325
6569,Methyl Ethyl Ketone,C4H8O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,butan-2-one,72.11,0.8213
6584,Methyl Acetate,C3H6O2,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,CC(=O)OC,KXKVLQRXCPHEJC-UHFFFAOYSA-N,methyl acetate,74.08,0.8118
6629,Cumene Hydroperoxide,C9H12O2,"InChI=1S/C9H12O2/c1-9(2,11-10)8-6-4-3-5-7-8/h3-7,10H,1-2H3",CC(C)(C1=CC=CC=C1)OO,YQHLDYVWEZKEOX-UHFFFAOYSA-N,2-hydroperoxypropan-2-ylbenzene,152.19,0.702
6721,Styphnic acid,C6H3N3O8,"InChI=1S/C6H3N3O8/c10-5-2(7(12)13)1-3(8(14)15)6(11)4(5)9(16)17/h1,10-11H",C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-],IXHMHWIBCIYOAZ-UHFFFAOYSA-N,"2,4,6-trinitrobenzene-1,3-diol",245.1,0.7111
6782,Diisobutyl phthalate,C16H22O4,"InChI=1S/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3",CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,MGWAVDBGNNKXQV-UHFFFAOYSA-N,"bis(2-methylpropyl) benzene-1,2-dicarboxylate",278.34,0.5376
6844,1-Hydroxy-2-naphthoic acid,C11H8O3,"InChI=1S/C11H8O3/c12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14/h1-6,12H,(H,13,14)",C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,SJJCQDRGABAVBB-UHFFFAOYSA-N,1-hydroxynaphthalene-2-carboxylic acid,188.18,0.5044
6899,"2,6-Dichlorophenol",C6H4Cl2O,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",C1=CC(=C(C(=C1)Cl)O)Cl,HOLHYSJJBXSLMV-UHFFFAOYSA-N,"2,6-dichlorophenol",163,0.7462
6975,"Benzene, 4-chloro-1-methyl-2-nitro-",C7H6ClNO2,"InChI=1S/C7H6ClNO2/c1-5-2-3-6(8)4-7(5)9(10)11/h2-4H,1H3",CC1=C(C=C(C=C1)Cl)[N+](=O)[O-],SQFLFRQWPBEDHM-UHFFFAOYSA-N,4-chloro-1-methyl-2-nitrobenzene,171.58,0.8779
7219,Indene,C9H8,"InChI=1S/C9H8/c1-2-5-9-7-3-6-8(9)4-1/h1-6H,7H2",C1C=CC2=CC=CC=C21,YBYIRNPNPLQARY-UHFFFAOYSA-N,1H-indene,116.16,0.855
7237,O-Xylene,C8H10,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",CC1=CC=CC=C1C,CTQNGGLPUBDAKN-UHFFFAOYSA-N,"1,2-xylene",106.16,0.8966
7238,2-Chlorotoluene,C7H7Cl,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",CC1=CC=CC=C1Cl,IBSQPLPBRSHTTG-UHFFFAOYSA-N,1-chloro-2-methylbenzene,126.58,0.8459
7241,2-Fluorotoluene,C7H7F,"InChI=1S/C7H7F/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",CC1=CC=CC=C1F,MMZYCBHLNZVROM-UHFFFAOYSA-N,1-fluoro-2-methylbenzene,110.13,0.8419
7245,2-Chlorophenol,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",C1=CC=C(C(=C1)O)Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,2-chlorophenol,128.55,0.673
7282,3-Methylpentane,C6H14,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",CCC(C)CC,PFEOZHBOMNWTJB-UHFFFAOYSA-N,3-methylpentane,86.18,0.8182
7284,2-Methylbutanal,C5H10O,"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3",CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,2-methylbutanal,86.13,0.8057
7351,Isobutyl isobutyrate,C8H16O2,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3",CC(C)COC(=O)C(C)C,RXGUIWHIADMCFC-UHFFFAOYSA-N,2-methylpropyl 2-methylpropanoate,144.21,0.6336
7504,Benzylamine,C7H9N,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",C1=CC=C(C=C1)CN,WGQKYBSKWIADBV-UHFFFAOYSA-N,phenylmethanamine,107.15,0.691
7505,Benzonitrile,C7H5N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,C1=CC=C(C=C1)C#N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,benzonitrile,103.12,0.7137
7519,Anisole,C7H8O,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",COC1=CC=CC=C1,RDOXTESZEPMUJZ-UHFFFAOYSA-N,anisole,108.14,0.8879
7520,Thioanisole,C7H8S,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",CSC1=CC=CC=C1,HNKJADCVZUBCPG-UHFFFAOYSA-N,methylsulfanylbenzene,124.21,0.6903
7539,"1,2,3-Triphenylguanidine",C19H17N3,"InChI=1S/C19H17N3/c1-4-10-16(11-5-1)20-19(21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H,(H2,20,21,22)",C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)NC3=CC=CC=C3,FUPAJKKAHDLPAZ-UHFFFAOYSA-N,"1,2,3-triphenylguanidine",287.4,0.5655
7554,"1,1,3-Triethoxyhexane",C12H26O3,"InChI=1S/C12H26O3/c1-5-9-11(13-6-2)10-12(14-7-3)15-8-4/h11-12H,5-10H2,1-4H3",CCCC(CC(OCC)OCC)OCC,SYPLTTUVUZHTJR-UHFFFAOYSA-N,"1,1,3-triethoxyhexane",218.33,0.6254
