Table S3. List of predicted non-carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
196,Adipic Acid,C6H10O4,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",C(CCC(=O)O)CC(=O)O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,hexanedioic acid,146.14,0.1572
263,1-Butanol,C4H10O,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,74.12,0.3285
264,Butyric Acid,C4H8O2,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,butanoic acid,88.11,0.3244
356,Octane,C8H18,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,114.23,0.2971
700,Ethanolamine,C2H7NO,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",C(CO)N,HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethanol,61.08,0.3384
753,Glycerol,C3H8O3,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",C(C(CO)O)O,PEDCQBHIVMGVHV-UHFFFAOYSA-N,"propane-1,2,3-triol",92.09,0.2538
971,Oxalic Acid,C2H2O4,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",C(=O)(C(=O)O)O,MUBZPKHOEPUJKR-UHFFFAOYSA-N,oxalic acid,90.03,0.4651
1017,Phthalic Acid,C8H6O4,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",C1=CC=C(C(=C1)C(=O)O)C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,phthalic acid,166.13,0.391
1032,Propionic Acid,C3H6O2,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,propanoic acid,74.08,0.4356
1752,4-Nonylphenol,C15H24O,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",CCCCCCCCCC1=CC=C(C=C1)O,IGFHQQFPSIBGKE-UHFFFAOYSA-N,4-nonylphenol,220.35,0.4086
