SMILES,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]OC(=O)C([H])([H])[H],60.05200000000001,37.3,1,1,0.09090000000000004,13.309800000000001
[H]C([H])([H])C(=O)C([H])([H])[H],58.08,17.07,0,1,0.5952999999999999,16.355
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H],146.14200000000002,74.6,2,2,0.716,33.73959999999999
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],72.107,17.07,0,1,0.9854,20.971999999999994
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],74.123,20.23,1,1,0.7787999999999999,21.993799999999993
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],88.10600000000001,37.3,1,1,0.8711,22.54379999999999
[H]Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[H],108.13999999999999,20.23,1,1,1.70062,32.84379999999999
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],114.232,0.0,0,0,3.3668000000000022,39.05
[H]C(=O)C([H])([H])C([H])([H])[H],58.08,17.07,0,1,0.5952999999999999,16.355
[H]N(C([H])([H])[H])C([H])([H])[H],45.085,12.03,1,1,-0.1644000000000001,14.983700000000002
[H]OC([H])([H])C([H])([H])N([H])[H],61.083999999999996,46.25,2,2,-1.0626000000000002,16.140200000000004
[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],92.09400000000001,60.69,3,3,-1.6681000000000001,20.1784
[H]OC([H])([H])[H],32.042,20.23,1,1,-0.39149999999999996,8.142800000000001
[H]OC(=O)C(=O)O[H],90.03399999999999,74.6,2,2,-0.8443999999999998,15.2716
[H]OC(=O)c1c([H])c([H])c([H])c([H])c1C(=O)O[H],166.13199999999998,74.6,2,2,1.083,40.360600000000005
[H]OC(=O)C([H])([H])C([H])([H])[H],74.07900000000001,37.3,1,1,0.48100000000000004,17.9268
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],59.111999999999995,3.24,0,1,0.17779999999999996,19.610999999999997
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],220.35599999999997,20.23,1,1,4.685300000000003,69.80380000000005
[H]OC(=O)C1(OC([H])([H])[H])OC([H])(C([H])(O[H])C([H])(O[H])C([H])([H])O[H])C([H])(N([H])C(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C1([H])[H],365.3350000000002,171.85,5,9,-2.6468999999999943,79.12390000000003
[H]Oc1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],108.13999999999999,20.23,1,1,1.70062,32.843799999999995
[H]C([H])(Br)Br,173.83499999999998,0.0,0,0,1.7337,22.720999999999997
[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],278.34799999999996,52.60000000000001,0,4,3.6004000000000023,76.82300000000005
[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],74.123,9.23,0,1,1.0428000000000002,22.166999999999994
[H]OC(=O)C(=C([H])[H])C([H])([H])[H],86.09,37.3,1,1,0.6471,22.449799999999993
[H]Oc1c([H])c([H])c(Cl)c([H])c1[H],128.558,20.23,1,1,2.0456,33.1168
[H]c1c([H])c(S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c(C(=O)N([H])C([H])([H])C2([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c1OC([H])([H])[H],354.4720000000002,75.71000000000001,1,5,1.7028999999999999,93.32300000000006
[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],182.172,121.38000000000001,6,6,-3.5854000000000004,38.198800000000006
[H]OC(=O)C([H])([H])N(C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)O[H])C([H])([H])C(=O)O[H],292.24399999999997,155.68,4,6,-2.0711999999999957,63.423200000000016
CC(=O)[O-].CC(=O)[O-].[Ca+2],158.166,80.25999999999999,0,4,-2.8683999999999985,27.115999999999993
COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,390.911,65.56,2,4,3.068900000000002,105.90850000000005
[H]C([H])([H])C([H])([H])[H],30.07,0.0,0,0,1.0262,11.348000000000003
[H]C#C[H],26.037999999999997,0.0,0,0,0.24939999999999998,9.89
[H]N([H])C([H])([H])[H],31.058,26.02,1,1,-0.42510000000000003,10.111400000000001
[H]C([H])([H])C([H])([H])C([H])([H])[H],44.096999999999994,0.0,0,0,1.4163,15.965000000000003
[H]N([H])C([H])([H])C([H])([H])[H],45.084999999999994,26.02,1,1,-0.03499999999999992,14.728400000000002
[H]N=C=O,43.025,40.92,1,2,-0.09903,8.4132
S=C=S,76.14500000000001,0.0,0,2,1.0181,20.189
[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H],59.111999999999995,26.02,1,1,0.3534999999999999,19.323399999999996
[H]SC([H])(C([H])([H])[H])C([H])([H])[H],76.164,0.0,1,1,1.3246,24.12199999999999
O=C(Cl)Cl,98.916,17.07,0,1,1.584,17.101999999999997
[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],73.139,26.02,1,1,0.7435999999999998,23.94039999999999
[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],86.17799999999998,0.0,0,0,2.442500000000001,29.74599999999998
[H]OC(C#N)(C([H])([H])[H])C([H])([H])[H],85.106,44.019999999999996,1,2,0.28087999999999996,21.91079999999999
[H]OC([H])([H])C(C([H])([H])O[H])(C([H])([H])O[H])C([H])([H])C([H])([H])[H],134.17499999999998,60.69,3,3,-0.6403000000000005,33.981399999999994
[H]C([H])([H])C([H])([H])OP(=O)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H],182.15599999999998,44.760000000000005,0,4,2.2039999999999997,42.48450000000001
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],72.151,0.0,0,0,2.0524,25.12899999999999
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],74.123,20.23,1,1,0.6347,21.923799999999993
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],74.123,20.23,1,1,0.7772,21.971799999999995
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],72.107,17.07,0,1,0.9854,20.971999999999994
[H]C([H])([H])OC(=O)C([H])([H])[H],74.07900000000001,26.3,0,2,0.1792999999999999,17.689999999999998
[H]OOC(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],152.19299999999996,29.46,1,2,2.4113000000000007,43.181800000000024
[H]Oc1c([N+](=O)[O-])c([H])c([N+](=O)[O-])c(O[H])c1[N+](=O)[O-],245.10299999999998,169.88000000000002,2,8,0.8223999999999998,49.73480000000001
[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],278.34799999999996,52.60000000000001,0,4,3.3122000000000016,76.68300000000005
[H]OC(=O)c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1O[H],188.182,57.53,2,2,2.2436000000000003,52.57210000000002
[H]Oc1c(Cl)c([H])c([H])c([H])c1Cl,163.003,20.23,1,1,2.699,38.12680000000001
[H]c1c([H])c(C([H])([H])[H])c([N+](=O)[O-])c([H])c1Cl,171.58299999999997,43.14,0,2,2.5566200000000006,42.84340000000002
[H]C1=C([H])C([H])([H])c2c([H])c([H])c([H])c([H])c21,116.16299999999995,0.0,0,0,2.2559000000000005,39.180000000000014
[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],106.16799999999998,0.0,0,0,2.30344,35.916
[H]c1c([H])c([H])c(C([H])([H])[H])c(Cl)c1[H],126.58599999999998,0.0,0,0,2.6484200000000007,36.189
[H]c1c([H])c([H])c(C([H])([H])[H])c(F)c1[H],110.13099999999999,0.0,0,0,2.1341200000000002,31.136999999999993
[H]Oc1c([H])c([H])c([H])c([H])c1Cl,128.558,20.23,1,1,2.0456000000000003,33.1168
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],86.178,0.0,0,0,2.442500000000001,29.74599999999998
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],86.134,17.07,0,1,1.2314,25.518999999999988
[H]C([H])([H])C([H])(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],144.21399999999997,26.3,0,2,1.8416000000000001,40.635000000000005
[H]OC(=O)c1c([H])c([H])c(C(=O)O[H])c([H])c1[H],166.132,74.6,2,2,1.083,40.360600000000005
[H]c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1[H],107.15599999999999,26.02,1,1,1.1453,34.333400000000005
[H]c1c([H])c([H])c(C#N)c([H])c1[H],103.12399999999998,23.79,0,1,1.5582799999999999,31.157
[H]c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],108.13999999999997,9.23,0,1,1.6951999999999998,32.99399999999999
[H]c1c([H])c([H])c(SC([H])([H])[H])c([H])c1[H],124.20799999999997,0.0,0,1,2.4085,38.22300000000001
[H]c1c([H])c([H])c(N=C(N([H])c2c([H])c([H])c([H])c([H])c2[H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],287.36600000000004,36.42,2,1,4.8983000000000025,93.66640000000002
[H]C([H])([H])C([H])([H])OC([H])(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],218.33699999999996,27.69,0,3,2.9808000000000012,61.979000000000056
[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c([H])c1N=C(N([H])c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H])C([H])([H])[H],298.38599999999997,42.849999999999994,1,3,4.6460000000000035,91.61370000000005
[H]c1c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c1[H],165.192,38.33,1,2,2.255,47.08670000000002
[H]C(=O)C([H])([H])OC([H])(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],198.30599999999995,26.3,0,2,2.972900000000002,59.307000000000045
[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],130.18699999999998,26.3,0,2,1.7397,36.157999999999994
[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],106.16799999999996,0.0,0,0,2.30344,35.916
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],58.123999999999995,0.0,0,0,1.8064,20.581999999999997
[H]C([H])=C([H])C([H])([H])C([H])([H])[H],56.10799999999999,0.0,0,0,1.5824,20.487999999999996
[H]OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],89.13799999999999,23.47,1,2,-0.4597000000000002,25.639799999999987
[H]C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],102.133,26.3,0,2,0.9579,26.901999999999987
[H]C([H])([H])C(=O)OC(=O)C([H])([H])[H],102.089,43.370000000000005,0,3,0.09599999999999997,22.44699999999999
[H]C1=C([H])C(=O)OC1=O,98.05699999999999,43.370000000000005,0,3,-0.3740000000000001,20.238999999999997
