Model,Fingerprint,FP_Count,AUC,Accuracy,F1,MCC,Sensitivity,Specificity,BA
MultiFPStacking,Kle+ECF+MAC,3,0.805978997,0.769067797,0.849655172,0.404254766,0.93902439,0.381944444,0.660484417
MultiFPStacking,Pub+Kle+ECF+MAC,4,0.805280318,0.756355932,0.841815681,0.365589441,0.932926829,0.354166667,0.643546748
MultiFPStacking,Pub+Kle+MAC,3,0.805280318,0.758474576,0.842105263,0.374183046,0.926829268,0.375,0.650914634
MultiFPStacking,Kle+MAC,2,0.804899221,0.766949153,0.848901099,0.397158553,0.942073171,0.368055556,0.655064363
MultiFPStacking,Kle+MAC+Ato,3,0.803851203,0.762711864,0.844875346,0.386571823,0.929878049,0.381944444,0.655911247
MultiFPStacking,Kle+ECF+MAC+Ato,4,0.803840617,0.762711864,0.844875346,0.386571823,0.929878049,0.381944444,0.655911247
MultiFPStacking,Pub+Kle+MAC+Ato,4,0.803575965,0.76059322,0.844566713,0.378314973,0.93597561,0.361111111,0.64854336
MultiFPStacking,Pub+Kle+ECF+MAC+Ato,5,0.80316311,0.754237288,0.840220386,0.359705837,0.929878049,0.354166667,0.642022358
MultiFPStacking,Pub+Kle+MAC+RDK,4,0.802983147,0.752118644,0.839064649,0.352863909,0.929878049,0.347222222,0.638550136
MultiFPStacking,ECF+MAC,2,0.802972561,0.756355932,0.840940526,0.367474053,0.926829268,0.368055556,0.647442412
MultiFPStacking,Pub+ECF+MAC,3,0.802909045,0.752118644,0.838174274,0.355020883,0.923780488,0.361111111,0.642445799
MultiFPStacking,Kle+ECF+MAC+RDK,4,0.802591463,0.758474576,0.842541436,0.373235779,0.929878049,0.368055556,0.648966802
MultiFPStacking,Pub+Kle+ECF+MAC+RDK,5,0.802443259,0.762711864,0.846153846,0.384360981,0.93902439,0.361111111,0.650067751
MultiFPStacking,Pub+MAC,2,0.802411501,0.75,0.837465565,0.347050713,0.926829268,0.347222222,0.637025745
MultiFPStacking,Kle+MAC+RDK,3,0.802157436,0.752118644,0.839064649,0.352863909,0.929878049,0.347222222,0.638550136
MultiFPStacking,ECF+MAC+Ato,3,0.801829268,0.762711864,0.845730028,0.385016087,0.93597561,0.368055556,0.652015583
MultiFPStacking,Kle+ECF+MAC+Ato+RDK,5,0.801829268,0.76059322,0.844566713,0.378314973,0.93597561,0.361111111,0.64854336
MultiFPStacking,Pub+ECF+MAC+Ato,4,0.801702236,0.756355932,0.841815681,0.365589441,0.932926829,0.354166667,0.643546748
MultiFPStacking,Kle+MAC+Ato+RDK,4,0.801522273,0.758474576,0.843406593,0.371563408,0.93597561,0.354166667,0.645071138
MultiFPStacking,Pub+Kle+MAC+Ato+RDK,5,0.801522273,0.758474576,0.843406593,0.371563408,0.93597561,0.354166667,0.645071138
MultiFPStacking,,6,0.801469343,0.758474576,0.843835616,0.370848458,0.93902439,0.347222222,0.643123306
MultiFPStacking,Pub+ECF+MAC+RDK,4,0.800876524,0.758474576,0.843406593,0.371563408,0.93597561,0.354166667,0.645071138
MultiFPStacking,Pub+ECF+MAC+Ato+RDK,5,0.80032605,0.756355932,0.842681259,0.364011753,0.93902439,0.340277778,0.639651084
MultiFPStacking,ECF+MAC+Ato+RDK,4,0.800304878,0.756355932,0.84137931,0.366495877,0.929878049,0.361111111,0.64549458
MultiFPStacking,ECF+MAC+RDK,3,0.800199018,0.758474576,0.842975207,0.372360962,0.932926829,0.361111111,0.64701897
MultiFPStacking,Pub+MAC+Ato,3,0.800188432,0.752118644,0.83862069,0.353909581,0.926829268,0.354166667,0.640497967
