Model_Key,Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
KNN_pubchem,KNN,PubChem,1,302,49,95,26,472
SVM_pubchem,SVM,PubChem,1,328,0,144,0,472
RandomForest_pubchem,RandomForest,PubChem,1,300,54,90,28,472
XGBoost_pubchem,XGBoost,PubChem,1,292,58,86,36,472
GaussianNB_pubchem,GaussianNB,PubChem,1,22,138,6,306,472
KNN_klekotaroth,KNN,Klekota-Roth,1,305,40,104,23,472
SVM_klekotaroth,SVM,Klekota-Roth,1,315,39,105,13,472
RandomForest_klekotaroth,RandomForest,Klekota-Roth,1,315,42,102,13,472
XGBoost_klekotaroth,XGBoost,Klekota-Roth,1,314,40,104,14,472
GaussianNB_klekotaroth,GaussianNB,Klekota-Roth,1,92,123,21,236,472
KNN_ecfp,KNN,ECFP,1,314,24,120,14,472
SVM_ecfp,SVM,ECFP,1,320,20,124,8,472
RandomForest_ecfp,RandomForest,ECFP,1,312,29,115,16,472
XGBoost_ecfp,XGBoost,ECFP,1,298,48,96,30,472
GaussianNB_ecfp,GaussianNB,ECFP,1,93,113,31,235,472
KNN_maccs,KNN,MACCS,1,294,61,83,34,472
SVM_maccs,SVM,MACCS,1,312,46,98,16,472
RandomForest_maccs,RandomForest,MACCS,1,311,45,99,17,472
XGBoost_maccs,XGBoost,MACCS,1,296,53,91,32,472
GaussianNB_maccs,GaussianNB,MACCS,1,145,112,32,183,472
KNN_atompairs,KNN,AtomPairs,1,302,42,102,26,472
SVM_atompairs,SVM,AtomPairs,1,318,26,118,10,472
RandomForest_atompairs,RandomForest,AtomPairs,1,308,40,104,20,472
XGBoost_atompairs,XGBoost,AtomPairs,1,297,47,97,31,472
GaussianNB_atompairs,GaussianNB,AtomPairs,1,15,136,8,313,472
KNN_rdkit,KNN,RDKit,1,312,37,107,16,472
SVM_rdkit,SVM,RDKit,1,319,32,112,9,472
RandomForest_rdkit,RandomForest,RDKit,1,306,50,94,22,472
XGBoost_rdkit,XGBoost,RDKit,1,313,41,103,15,472
GaussianNB_rdkit,GaussianNB,RDKit,1,228,62,82,100,472
VotingEnsemble_pubchem,VotingEnsemble,PubChem,1,299,55,89,29,472
StackingEnsemble_pubchem,StackingEnsemble,PubChem,1,300,51,93,28,472
VotingEnsemble_klekotaroth,VotingEnsemble,Klekota-Roth,1,308,37,107,20,472
StackingEnsemble_klekotaroth,StackingEnsemble,Klekota-Roth,1,310,49,95,18,472
VotingEnsemble_ecfp,VotingEnsemble,ECFP,1,308,37,107,20,472
StackingEnsemble_ecfp,StackingEnsemble,ECFP,1,302,47,97,26,472
VotingEnsemble_maccs,VotingEnsemble,MACCS,1,298,62,82,30,472
StackingEnsemble_maccs,StackingEnsemble,MACCS,1,303,56,88,25,472
VotingEnsemble_atompairs,VotingEnsemble,AtomPairs,1,302,43,101,26,472
StackingEnsemble_atompairs,StackingEnsemble,AtomPairs,1,303,47,97,25,472
VotingEnsemble_rdkit,VotingEnsemble,RDKit,1,305,49,95,23,472
StackingEnsemble_rdkit,StackingEnsemble,RDKit,1,307,50,94,21,472
MultiFPUnionPipeline_2指纹_Pub+Kle,MultiFPUnionPipeline,Pub+Kle,2,310,49,95,18,472
MultiFPVoting_2指纹_Pub+Kle,MultiFPVoting,Pub+Kle,2,307,48,96,21,472
MultiFPStacking_2指纹_Pub+Kle,MultiFPStacking,Pub+Kle,2,308,49,95,20,472
MultiFPUnionPipeline_2指纹_Pub+ECF,MultiFPUnionPipeline,Pub+ECF,2,309,42,102,19,472
MultiFPVoting_2指纹_Pub+ECF,MultiFPVoting,Pub+ECF,2,308,42,102,20,472
MultiFPStacking_2指纹_Pub+ECF,MultiFPStacking,Pub+ECF,2,303,50,94,25,472
MultiFPUnionPipeline_2指纹_Pub+MAC,MultiFPUnionPipeline,Pub+MAC,2,300,57,87,28,472
MultiFPVoting_2指纹_Pub+MAC,MultiFPVoting,Pub+MAC,2,306,53,91,22,472
MultiFPStacking_2指纹_Pub+MAC,MultiFPStacking,Pub+MAC,2,304,50,94,24,472
MultiFPUnionPipeline_2指纹_Pub+Ato,MultiFPUnionPipeline,Pub+Ato,2,309,49,95,19,472
MultiFPVoting_2指纹_Pub+Ato,MultiFPVoting,Pub+Ato,2,308,47,97,20,472
MultiFPStacking_2指纹_Pub+Ato,MultiFPStacking,Pub+Ato,2,306,48,96,22,472
MultiFPUnionPipeline_2指纹_Pub+RDK,MultiFPUnionPipeline,Pub+RDK,2,305,46,98,23,472
MultiFPVoting_2指纹_Pub+RDK,MultiFPVoting,Pub+RDK,2,305,49,95,23,472
MultiFPStacking_2指纹_Pub+RDK,MultiFPStacking,Pub+RDK,2,308,45,99,20,472
MultiFPUnionPipeline_2指纹_Kle+ECF,MultiFPUnionPipeline,Kle+ECF,2,319,22,122,9,472
MultiFPVoting_2指纹_Kle+ECF,MultiFPVoting,Kle+ECF,2,311,38,106,17,472
MultiFPStacking_2指纹_Kle+ECF,MultiFPStacking,Kle+ECF,2,307,48,96,21,472
MultiFPUnionPipeline_2指纹_Kle+MAC,MultiFPUnionPipeline,Kle+MAC,2,310,43,101,18,472
MultiFPVoting_2指纹_Kle+MAC,MultiFPVoting,Kle+MAC,2,301,51,93,27,472
MultiFPStacking_2指纹_Kle+MAC,MultiFPStacking,Kle+MAC,2,309,53,91,19,472
MultiFPUnionPipeline_2指纹_Kle+Ato,MultiFPUnionPipeline,Kle+Ato,2,311,41,103,17,472
MultiFPVoting_2指纹_Kle+Ato,MultiFPVoting,Kle+Ato,2,311,41,103,17,472
MultiFPStacking_2指纹_Kle+Ato,MultiFPStacking,Kle+Ato,2,307,50,94,21,472
MultiFPUnionPipeline_2指纹_Kle+RDK,MultiFPUnionPipeline,Kle+RDK,2,310,41,103,18,472
MultiFPVoting_2指纹_Kle+RDK,MultiFPVoting,Kle+RDK,2,310,47,97,18,472
MultiFPStacking_2指纹_Kle+RDK,MultiFPStacking,Kle+RDK,2,312,45,99,16,472
MultiFPUnionPipeline_2指纹_ECF+MAC,MultiFPUnionPipeline,ECF+MAC,2,312,33,111,16,472
MultiFPVoting_2指纹_ECF+MAC,MultiFPVoting,ECF+MAC,2,308,48,96,20,472
MultiFPStacking_2指纹_ECF+MAC,MultiFPStacking,ECF+MAC,2,304,53,91,24,472
MultiFPUnionPipeline_2指纹_ECF+Ato,MultiFPUnionPipeline,ECF+Ato,2,311,32,112,17,472
MultiFPVoting_2指纹_ECF+Ato,MultiFPVoting,ECF+Ato,2,307,39,105,21,472
