Functional_Group,Compounds_with_FG,Percentage,Average_Count,Max_Count,Total_Occurrences
Aromatic_ring,85,39.906103286384976,0.6666666666666666,7,142
Ether,44,20.657276995305164,0.29107981220657275,7,62
Alkene,37,17.370892018779344,0.18309859154929578,2,39
Chloride,33,15.492957746478872,0.29577464788732394,5,63
Ester,23,10.7981220657277,0.14084507042253522,2,30
Alcohol(OH),19,8.92018779342723,0.1267605633802817,4,27
Amine_primary,15,7.042253521126761,0.08450704225352113,3,18
Phenol,14,6.572769953051644,0.08450704225352113,3,18
Amine_tertiary,14,6.572769953051644,0.08450704225352113,3,18
Ketone,7,3.286384976525822,0.03755868544600939,2,8
Aldehyde,6,2.8169014084507045,0.028169014084507043,1,6
Carboxylic_acid,6,2.8169014084507045,0.028169014084507043,1,6
Bromide,6,2.8169014084507045,0.04225352112676056,2,9
Carboxylate,6,2.8169014084507045,0.03755868544600939,2,8
Amide,6,2.8169014084507045,0.028169014084507043,1,6
Fluoride,5,2.3474178403755865,0.051643192488262914,4,11
Nitrile,4,1.8779342723004695,0.018779342723004695,1,4
Amine_secondary,4,1.8779342723004695,0.023474178403755867,2,5
Epoxide,3,1.4084507042253522,0.014084507042253521,1,3
Quaternary_N,2,0.9389671361502347,0.009389671361502348,1,2
Acetal,2,0.9389671361502347,0.009389671361502348,1,2
Alkyne,2,0.9389671361502347,0.009389671361502348,1,2
Iodide,2,0.9389671361502347,0.014084507042253521,2,3
Disulfide,1,0.4694835680751174,0.004694835680751174,1,1
Sulfide,1,0.4694835680751174,0.004694835680751174,1,1
Peroxide,1,0.4694835680751174,0.004694835680751174,1,1
Carbamate,1,0.4694835680751174,0.004694835680751174,1,1
Thiol,1,0.4694835680751174,0.004694835680751174,1,1
Sulfoxide,1,0.4694835680751174,0.004694835680751174,1,1
Azo,0,0.0,0.0,0,0
Nitro,0,0.0,0.0,0,0
Azide,0,0.0,0.0,0,0
Sulfonate,0,0.0,0.0,0,0
Sulfonic_acid,0,0.0,0.0,0,0
Sulfone,0,0.0,0.0,0,0
Urea,0,0.0,0.0,0,0
