Compound_CID,SMILES,Valid,Molecular_Formula,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Total_Rings,Charge,Num_Atoms,Num_Heavy_Atoms,Alcohol(OH),Phenol,Aldehyde,Ketone,Carboxylic_acid,Carboxylate,Ester,Ether,Peroxide,Amine_primary,Amine_secondary,Amine_tertiary,Quaternary_N,Amide,Nitro,Nitrile,Azo,Azide,Thiol,Sulfide,Disulfide,Sulfoxide,Sulfone,Sulfonic_acid,Sulfonate,Fluoride,Chloride,Bromide,Iodide,Alkene,Alkyne,Aromatic_ring,Epoxide,Acetal,Carbamate,Urea,Total_FG_Count
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,True,C6HCl5O,263.847,4.659,1,1,1,1,1,0,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,7
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,True,C20H12,252.094,5.737,0,0,0,5,5,0,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
6914,C1=C(C=C(C(=C1Cl)O)Cl)Cl,True,C6H3Cl3O,195.925,3.352,1,1,1,1,1,0,13,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5
8343,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,True,C24H38O4,390.277,6.433,0,4,18,1,1,0,66,28,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
9145,C1=CC=C2C(=C1)C=CC3=C2C=C4C=CC=C5C4=C3C6=CC=CC=C65,True,C24H14,302.11,6.794,0,0,0,5,6,0,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
9176,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5=CC=CC=C5C=C4,True,C22H14,278.11,6.299,0,0,0,5,5,0,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
31373,C(=C(Cl)Cl)(Cl)Cl,True,C2Cl4,163.875,3.068,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,5
3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,True,C16H22O4,278.152,3.6,0,4,10,1,1,0,42,20,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
6169,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,True,C21H27ClN2O3,390.171,3.069,2,4,3,2,5,0,54,27,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
6721,C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-],True,C6H3N3O8,244.992,0.822,2,8,5,1,1,0,20,17,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
6782,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,True,C16H22O4,278.152,3.312,0,4,10,1,1,0,42,20,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
7539,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)NC3=CC=CC=C3,True,C19H17N3,287.142,4.898,2,1,3,3,3,0,39,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
