Compound_CID,SMILES,Valid,Molecular_Formula,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Total_Rings,Charge,Num_Atoms,Num_Heavy_Atoms,Alcohol(OH),Phenol,Aldehyde,Ketone,Carboxylic_acid,Carboxylate,Ester,Ether,Peroxide,Amine_primary,Amine_secondary,Amine_tertiary,Quaternary_N,Amide,Nitro,Nitrile,Azo,Azide,Thiol,Sulfide,Disulfide,Sulfoxide,Sulfone,Sulfonic_acid,Sulfonate,Fluoride,Chloride,Bromide,Iodide,Alkene,Alkyne,Aromatic_ring,Epoxide,Acetal,Carbamate,Urea,Total_FG_Count
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,True,C14H10,178.078,3.993,0,0,0,3,3,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,True,C20H12,252.094,5.737,0,0,0,5,5,0,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
8418,C1=CC=C2C=C3C=CC=CC3=CC2=C1,True,C14H10,178.078,3.993,0,0,0,3,3,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
9145,C1=CC=C2C(=C1)C=CC3=C2C=C4C=CC=C5C4=C3C6=CC=CC=C65,True,C24H14,302.11,6.794,0,0,0,5,6,0,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,True,C20H12,252.094,5.64,0,0,0,4,5,0,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
9170,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,True,C18H12,228.094,5.146,0,0,0,4,4,0,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
9171,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,True,C18H12,228.094,5.146,0,0,0,4,4,0,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
9176,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5=CC=CC=C5C=C4,True,C22H14,278.11,6.299,0,0,0,5,5,0,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
18781,CC1=CC2=C(C=C1)C=CC3=C2C=CC4=CC=CC=C43,True,C19H14,242.11,5.455,0,0,1,4,4,0,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
7539,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)NC3=CC=CC=C3,True,C19H17N3,287.142,4.898,2,1,3,3,3,0,39,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
8289,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,True,C18H15O4P,326.071,5.332,0,4,6,3,3,0,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
11884,CC1=CC=CC2=CC3=CC=CC=C3C=C12,True,C15H12,192.094,4.301,0,0,1,3,3,0,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
14422,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC(=C3)C4=CC=CC=C4,True,C24H18,306.141,6.688,0,0,3,4,4,0,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
14711,CN(CCC(C#N)C1=CC=CC2=CC=CC=C21)CC3=CC=CC=C3,True,C22H22N2,314.178,4.969,0,2,7,3,3,0,46,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
22231,C1=CC=C(C=C1)C2=CC3=C(C4=CC=CC=C4N=C3C=C2)N,True,C19H14N2,270.116,4.637,1,2,2,4,4,0,35,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
136019,C1=CC=C2C=C3C(=CC2=C1)C4=CC5=CC=CC=C5C=C4C6=CC7=CC=CC=C7C=C36,True,C30H18,378.141,8.606,0,0,0,7,7,0,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
