SMILES,LABEL,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]c1c([H])c([H])c2c(c1[H])c([H])c1c3c([H])c([H])c([H])c([H])c3c3c([H])c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c2c1c43,1,352.4360000000001,0.0,0,0,8.043600000000003,122.66400000000003
[H]c1c([H])c([H])c2c3c(c([H])c([H])c2c1[H])C([H])([H])c1c-3c([H])c([H])c2c([H])c([H])c([H])c([H])c12,1,266.34299999999996,0.0,0,0,5.564200000000003,89.69600000000004
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c3c([H])c([H])c([H])c(C([H])([H])[H])c3c([H])c([H])c21,1,242.32099999999997,0.0,0,0,5.454620000000004,83.69700000000005
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c3c([H])c([H])c(C([H])([H])[H])c([H])c3c([H])c([H])c21,1,242.32099999999997,0.0,0,0,5.454620000000004,83.69700000000005
[H]c1c([H])c2c3c(c([H])c([H])c(N([H])[H])c3c1[H])C([H])([H])C2([H])[H],1,169.22699999999995,26.02,1,1,2.520600000000001,55.76840000000002
[H]C1([H])C([H])(Cl)C([H])(Cl)C2([H])C1([H])[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,1,409.78200000000004,0.0,0,0,5.682800000000001,81.21600000000001
[H]c1c([H])c([H])c2c(N([H])N([H])[H])nnc([H])c2c1[H],1,160.18000000000004,63.83,2,4,0.9154,47.34810000000001
[H]ON([H])C(=O)N([H])[H],1,76.055,75.35,3,2,-0.9561000000000002,14.5056
[H]C(=O)C(=O)C([H])([H])[H],1,72.063,34.14,0,2,-0.22570000000000012,16.745
[H]OC(=O)C([H])([H])N([H])C([H])([H])P(=O)(O[H])O[H],1,169.073,106.86000000000001,4,3,-1.2042000000000002,32.54959999999999
[H]Oc1c([H])c([H])c(O[H])c2c1C(=O)c1c(c(N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H])c([H])c([H])c1N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H])C2=O,1,444.4880000000002,163.18,8,10,-0.13920000000000032,119.96900000000004
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,1,178.23399999999998,0.0,0,0,3.993000000000002,61.454000000000036
[H]c1c([H])c(N([H])S(=O)(=O)C([H])([H])[H])c([H])c(OC([H])([H])[H])c1N([H])c1c2c([H])c([H])c([H])c([H])c2nc2c([H])c([H])c([H])c([H])c12,1,393.4680000000001,80.32000000000001,2,5,4.511700000000003,113.99220000000003
[H]c1c([H])c([H])c2c(sc3c([H])c([H])c([H])c([H])c32)c1[H],1,184.263,0.0,0,1,4.054500000000003,59.331000000000024
[H]c1c([H])c([H])c(C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],1,182.222,17.07,0,1,2.917600000000001,56.31650000000003
[H]C([H])([H])[C@@]12C(=O)OC(=O)[C@]1(C([H])([H])[H])[C@]1([H])O[C@@]2([H])C([H])([H])C1([H])[H],1,196.20199999999997,52.60000000000001,0,4,0.6436,45.20800000000003
[H]C([H])([H])I,1,141.939,0.0,0,0,1.0512000000000001,19.943999999999996
[H]C([H])=C([H])C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1,184.27899999999994,26.3,0,2,2.9320000000000013,54.462000000000046
[H]C([H])([H])C([H])([H])C([H])([H])Br,1,122.993,0.0,0,0,1.7913000000000001,24.08499999999999
[H]C([H])(Cl)C#N,1,75.498,23.79,0,1,0.74878,16.333
[H]c1c([N+](=O)[O-])c([H])c([N+](=O)[O-])c(C([H])([H])[H])c1[N+](=O)[O-],1,227.13199999999998,129.42000000000002,0,6,1.7196200000000001,51.1422
[H]Oc1c(Br)c([H])c(C(c2c([H])c(Br)c(O[H])c(Br)c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1Br,1,543.8750000000001,40.46,2,2,6.473700000000003,99.14160000000001
[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c2c([H])c([H])c(=[N+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c-2oc2c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c12,1,443.56700000000023,56.69,1,3,5.561000000000005,135.14329999999995
[H]c1c([H])c2c3c(c([H])c([H])c([H])c3c1[H])C([H])([H])C2([H])[H],1,154.21199999999993,0.0,0,0,2.9384000000000006,51.35600000000003
[H]c1c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1,120.19499999999996,0.0,0,0,2.8100000000000005,40.53100000000002
[H]c1nc(C([H])([H])C([H])([H])Oc2c([H])c([H])c(C([H])([H])C3([H])SC(=O)N([H])C3=O)c([H])c2[H])c([H])c([H])c1C([H])([H])C([H])([H])[H],1,356.4470000000001,68.28999999999999,1,5,3.159600000000002,97.87770000000005
[H]c1c(N([H])S(=O)(=O)c2c([H])c([H])c(N([H])[H])c([H])c2[H])noc1C([H])([H])[H],1,253.283,98.22,2,5,1.36602,62.90290000000001
[H]c1nc2c(c(=O)n([H])c(=O)n2C([H])([H])[H])n1C([H])([H])[H],1,180.16699999999997,72.68,1,5,-1.0397,46.5757
[H]C1=C2C([H])([H])[C@@]([H])(SC(=O)C([H])([H])[H])[C@]3([H])[C@]([H])(C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]5(OC(=O)C([H])([H])C5([H])[H])C([H])([H])C([H])([H])[C@]43[H])[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C1=O,1,416.5830000000003,60.440000000000005,0,5,4.852300000000004,112.21000000000008
[H]C1([H])N(P2(N3C([H])([H])C3([H])[H])=NP(N3C([H])([H])C3([H])[H])(N3C([H])([H])C3([H])[H])=NP(N3C([H])([H])C3([H])[H])(N3C([H])([H])C3([H])[H])=N2)C1([H])[H],1,387.3090000000002,55.13999999999999,0,9,1.7322,97.48200000000004
[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],1,386.6640000000002,20.23,1,1,7.388700000000009,119.05280000000009
[H]c1nc(N2C(=O)N([H])C([H])([H])C2([H])[H])sc1[N+](=O)[O-],1,214.206,88.37,1,5,0.5808999999999999,49.5131
[H]C([H])=C([H])[H],1,28.053999999999995,0.0,0,0,0.8022,11.254000000000001
[H]c1c([N+](=O)[O-])c(C([H])([H])[H])c([N+](=O)[O-])c(OC([H])([H])[H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1,268.26899999999995,95.51,0,5,3.1175200000000016,69.73980000000003
[H]OC([H])(C([H])([H])Cl)C([H])([H])Cl,1,128.986,20.23,1,1,0.8249,27.446799999999993
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OOC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1,398.6280000000004,52.6,0,4,7.829600000000009,115.8720000000001
[H]OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H],1,105.137,52.489999999999995,3,3,-1.4393999999999998,27.041299999999993
[H]C(=O)C(Cl)(Cl)Cl,1,147.388,17.07,0,1,1.5555,26.353999999999996
[H]c1nc2c([H])c([H])c([H])c([H])c2c([H])c1[H],1,129.16199999999998,12.89,0,1,2.2348,41.743000000000016
[H]N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],1,87.122,21.259999999999998,1,2,-0.39380000000000015,23.68869999999999
[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c([H])c([H])c([H])c3c([N+](=O)[O-])c([H])c([H])c-2c13,1,275.26300000000003,60.209999999999994,0,3,3.9594000000000023,79.47090000000001
[H]O[C@@]1([H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[C@@]2([H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[C@@]3([H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[C@@]4([H])C([H])([H])C([H])([H])[C@@]5(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@]6([H])[C@]5([H])C([H])([H])[C@@]([H])(O[H])[C@@]5(C([H])([H])[H])[C@]6(O[H])C([H])([H])C([H])([H])[C@]5([H])C5=C([H])C(=O)OC5([H])[H])C4([H])[H])O[C@]3([H])C([H])([H])[H])O[C@]2([H])C([H])([H])[H])O[C@]1([H])C([H])([H])[H],1,780.9490000000001,203.05999999999995,6,14,2.2181000000000015,192.61079999999936
[H]/C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C1([H])OC1([H])[H],1,338.53200000000004,38.83,0,3,5.965900000000006,100.15100000000008
P#[In],1,145.792,0.0,0,0,0.48039999999999994,12.674
[H]c1c([H])c([N+](=O)[O-])c([H])c2c1-c1c([H])c([H])c([H])c3c([N+](=O)[O-])c([H])c([H])c-2c13,1,292.25,86.28,0,4,4.303600000000002,81.68680000000002
[H]c1c([H])c2c([H])c([H])c3c([H])c([H])c([H])c4c([H])c([H])c(c1[H])c2c34,1,202.25599999999997,0.0,0,0,4.584000000000002,70.14600000000003
[H]c1c([H])c2c([H])c([H])c3c([N+](=O)[O-])c([H])c([H])c4c([H])c([H])c(c1[N+](=O)[O-])c2c43,1,292.25000000000006,86.28,0,4,4.400400000000002,83.45480000000002
[H]c1c(Cl)c(Cl)c([H])c2c1oc1c(Cl)c(Cl)c(Cl)c([H])c12,1,340.42,13.14,0,1,6.853000000000001,78.77000000000001
[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c3c([H])c(C([H])([H])[H])c([H])c-2c13,1,216.28299999999996,0.0,0,0,4.795620000000002,73.11500000000004
[H]Oc1c(OC([H])([H])[H])c([H])c([C@]2([H])c3c([H])c4c(c([H])c3[C@@]([H])(O[C@]3([H])O[C@]5([H])C([H])([H])O[C@@]([H])(C([H])([H])[H])O[C@@]5([H])[C@]([H])(O[H])[C@@]3([H])O[H])[C@@]3([H])C([H])([H])OC(=O)[C@]23[H])OC([H])([H])O4)c([H])c1OC([H])([H])[H],1,588.5620000000002,160.82999999999998,3,13,1.3385999999999996,138.3453999999999
[H]c1c([H])c([H])c(-c2c3c([H])c(Br)c(=O)c(Br)c-3oc3c(Br)c(O)c(Br)c([H])c23)c(C(=O)O)c1[H],1,647.8950000000001,87.74,2,4,7.018600000000003,123.96610000000005
[H]c1c([H])c([H])c2c([H])c([N+](=O)[O-])c([H])c([H])c2c1[H],1,173.171,43.14,0,2,2.748000000000001,50.602400000000024
[H]c1c([H])c([H])c2c([H])c3c([H])c([H])c([H])c([H])c3c([H])c2c1[H],1,178.23399999999995,0.0,0,0,3.993000000000002,61.45400000000003
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],1,305.834,6.48,0,4,0.7571000000000002,67.30000000000003
