Table S1. Training dataset for machine learning models.,,,,,,,
SMILES,LABEL,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]c1c([H])c([H])c2c(c1[H])c([H])c1c3c([H])c([H])c([H])c([H])c3c3c([H])c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c2c1c43,1,352.436,0,0,0,8.0436,122.664
[H]c1c([H])c([H])c2c3c(c([H])c([H])c2c1[H])C([H])([H])c1c-3c([H])c([H])c2c([H])c([H])c([H])c([H])c12,1,266.343,0,0,0,5.5642,89.696
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c3c([H])c([H])c([H])c(C([H])([H])[H])c3c([H])c([H])c21,1,242.321,0,0,0,5.45462,83.697
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c3c([H])c([H])c(C([H])([H])[H])c([H])c3c([H])c([H])c21,1,242.321,0,0,0,5.45462,83.697
[H]c1c([H])c2c3c(c([H])c([H])c(N([H])[H])c3c1[H])C([H])([H])C2([H])[H],1,169.227,26.02,1,1,2.5206,55.7684
[H]C1([H])C([H])(Cl)C([H])(Cl)C2([H])C1([H])[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,1,409.782,0,0,0,5.6828,81.216
[H]c1c([H])c([H])c2c(N([H])N([H])[H])nnc([H])c2c1[H],1,160.18,63.83,2,4,0.9154,47.3481
[H]ON([H])C(=O)N([H])[H],1,76.055,75.35,3,2,-0.9561,14.5056
[H]C(=O)C(=O)C([H])([H])[H],1,72.063,34.14,0,2,-0.2257,16.745
[H]OC(=O)C([H])([H])N([H])C([H])([H])P(=O)(O[H])O[H],1,169.073,106.86,4,3,-1.2042,32.5496
[H]Oc1c([H])c([H])c(O[H])c2c1C(=O)c1c(c(N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H])c([H])c([H])c1N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H])C2=O,1,444.488,163.18,8,10,-0.1392,119.969
[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,1,178.234,0,0,0,3.993,61.454
[H]c1c([H])c(N([H])S(=O)(=O)C([H])([H])[H])c([H])c(OC([H])([H])[H])c1N([H])c1c2c([H])c([H])c([H])c([H])c2nc2c([H])c([H])c([H])c([H])c12,1,393.468,80.32,2,5,4.5117,113.9922
[H]c1c([H])c([H])c2c(sc3c([H])c([H])c([H])c([H])c32)c1[H],1,184.263,0,0,1,4.0545,59.331
[H]c1c([H])c([H])c(C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],1,182.222,17.07,0,1,2.9176,56.3165
